Name,What it does (technical),How it helps automated designs,Drawbacks,Plain-language explanation,Source,Recommend (0-100)
Ragged-Right Default,"body { text-align: left; } — only justify when hyphens: auto actually works and measure is ≥60ch, paired with text-align-last: left",Ragged-right always looks intentional; justified-without-hyphenation produces the gappy ''river'' effect that is the #1 tell of automated layout,Justified reads as more formal; some clients insist on it,Forcing both edges of the text to be flat is hard — only do it if you also let words break. Otherwise let the right edge be ragged like a flag,Outside (research),70
Tabular Figures In Numerics,"td.num, .num { font-variant-numeric: tabular-nums; font-feature-settings: ''tnum'' 1; } — scoped to tables and numeric cells",Forces every digit to the same width so decimal points and thousands separators line up vertically without per-cell hacks,Tabular figures are wider than proportional; in body prose they look clunky — scope only to tabular contexts. Some display fonts (Cormorant Garamond) lack tnum — pair with a tabular font for numbers.,"By default the number 1 is skinny and 8 is fat, so columns wobble. Tabular figures lock every digit into the same box",Outside (research),71
Old-Style Figures In Prose,body { font-feature-settings: ''onum'' 1; } or font-variant-numeric: oldstyle-nums — override with tnum in tables,"Numbers stop shouting in body paragraphs because old-style numerals have ascenders and descenders like lowercase letters, blending into the line",Many sans-serifs lack onum and silently fall back to lining; wrong choice in scientific contexts where number prominence matters,"Default numerals are all the same height as capital letters, so ''the 1789 revolution'' looks like ''the 1789 REVOLUTION'' — old-style numbers have tails and bellies that blend in","Inside: ascent-renderer, brad + outside research",82
Real Small Caps For Acronyms,"abbr, .eyebrow { font-variant-caps: small-caps; font-feature-settings: ''smcp'' 1; } — never text-transform: uppercase; font-size: 0.8em","NASA, PDF, OKOA stop hammering the line; section labels and acronyms acquire calm authority because the stroke weight is properly designed",Most web fonts ship without smcp and synthesize anaemic faux small-caps; PPTX has no concept,Real small caps are designed at the right thickness; faked ones are big letters shrunk down to look stick-thin,Outside (research),68
Optical Sizing On Variable Fonts,body { font-optical-sizing: auto; } or manual font-variation-settings: ''opsz'' 11 (body) / ''opsz'' 60 (display),Variable fonts swap stroke contrast and x-height across sizes; one declaration prevents the brittle look of scaling one master across the full range,Static fonts ignore the property; some lesser-known variable fonts are mis-tuned,Good fonts have multiple ''outfits'' for different sizes; this setting auto-picks the right one for whatever scale you are at,"Inside: ascent-renderer, brad, design-variants, forge, ultimate-designer + outside research",82
Negative Tracking On Display,h1 { letter-spacing: -0.02em; } scaled -0.01em @24pt to -0.03em @72pt+; positive +0.05-0.10em on all-caps,Fonts are spaced for body sizes; at display sizes gaps look comically wide and uppercase letters jam without breathing room,Over-tightening collides Tr and fi pairs; CSS will not auto-kern beyond font defaults,Big letters look like they have gaps even when they do not; small caps and uppercase look like they are jammed even when they are not,"Inside: brad, design-variants, doc-design-qa, forge + outside research",81
Hanging Punctuation,"blockquote, p { hanging-punctuation: first allow-end last; } — Safari/WebKit native; Chromium fallback is negative text-indent: -0.4em","Opening quotes, bullets, and line-end periods stop pulling the optical edge inward; the margin reads straight to the human eye",Most Puppeteer-based pipelines silently no-op as of 2026; Prince/WeasyPrint partial; mature in InDesign and TeX,"A period is shorter than a letter, so when it sits at line-end it looks like the margin has a bite missing — optical alignment pushes the dot outside so the visible edge is the letter",Outside (research),64
Text-Wrap Balance On Headlines,"h1, h2, h3 { text-wrap: balance; } — browser balances headlines so all lines are roughly equal length","Eliminates the ''huge first line, tiny second line'' shape and single-word last-line orphans on display text without per-document tuning","Chrome caps at 6 balanced lines, Firefox at 10; older Puppeteer Chromium silently ignores; reflow cost",Like a barista who pours two cups from one pitcher so they end up the same height — instead of one full and one half.,"Inside: ascent-renderer, brad + outside research",80
Text-Wrap Pretty On Body,p { text-wrap: pretty; } — Chrome 117+ paragraph-aware line breaker that avoids orphan last words,Auto-eliminates the most common typographic tell (a single dangling last-line word) across all body paragraphs without per-document work,Slower than the greedy default; not yet universal in headless rendering pipelines,Like a tailor who tucks the last word of a paragraph back into the line above so no single word is left hanging at the bottom.,Outside (research),66
Modular Type Scale,"Pick one ratio (1.125 Major Second, 1.25 Major Third, 1.333 Fourth, 1.5 Fifth, 1.618 Golden) and one base (16px). All sizes = base × ratio^n via CSS custom properties","Forces all headings, captions, eyebrows and metrics onto a small mathematically related set, eliminating arbitrary ''h2 is 18px because someone typed 18''",Ratios above ~1.5 produce huge headlines that wreck narrow columns; pure golden-ratio scales jump too fast for dense UI,"Every size is one note up the scale from the size below — the eye reads a chord, not a random pile of sizes","Inside: ascent-renderer, forge + outside research",79
Two-Typeface Ceiling,"Define --font-display, --font-body, and optionally --font-mono. Three families is the absolute outside",Auto-pipelines mixing 5+ fonts always look like Word 2008; a 2-family rule enforced at the variable layer prevents drift,Tight budget gives up display effects unless the family ships display weights,"Pick one fancy headline font, one plain reading font, and stop — like a band with a singer and a guitarist, not seven of each","Inside: design-variants, doc-design-qa, forge + outside research",80
Mono-Label Eyebrow,"Section labels use IBM Plex Mono at 10-12px, weight 600, letter-spacing 0.04-0.25em, uppercase, format '01 — Section Name' with em dash",Creates a consistent ''administrative text'' tier across all templates; readers parse mono labels as metadata vs body prose,IBM Plex Mono is not a system font — the fallback (Courier New) destroys the aesthetic; long monospace labels overflow narrow containers,"Like the tiny gray EXHIBIT A stamp on legal documents — always the same typeface and size, so you can scan a 300-page binder and instantly know what you are looking at","Inside: ascent-renderer, brad, design-variants, doc-design-qa, ultimate-designer + outside research",77
Cormorant Garamond Display Only,"Reserve Cormorant Garamond (or any display serif) for hero h1, section titles, pull quotes, and data hero numbers; IBM Plex Sans handles all body and card titles",Prevents ''typeface promiscuity'' — the common AI-generated failure where headline fonts bleed into body paragraphs and destroy readability,Constraining the display face to display-only means a maximum of two type personalities; pull-quote citations may want an intermediate treatment,"Like a law firm that uses its elegant script only on the letterhead and signature block, never in the legal text","Inside: ascent-renderer, brad, design-variants, ultimate-designer + outside research",82
Sentence-Case Body Text,"Body, bullets, captions in sentence case. ALL CAPS reserved for eyebrows ≤4 words, letter-spaced ≥0.04em",Lowercase shapes are more distinct so the eye reads them ~10-13% faster; readers over 55 are 29% more likely to misread ALL-CAPS,Some brand systems mandate caps for headers — needs an opt-out,Words have shapes; hello and HELLO have different silhouettes — lowercase shapes are more distinct so your eye reads them faster,"Inside: ascent-renderer, brad, doc-design-qa, forge, ultimate-designer + outside research",82
Italics For Emphasis Only,"Reserve italics for single-token emphasis, foreign terms, and titles of works; renderer strips stray italics from extracted text",Pass-through italics from PDF/DOCX extraction becomes noise and renders intentional emphasis invisible,Editorial styles that italicize quotes break under this rule,"If everyone whispers, no one can be heard whispering — italics only work as emphasis if they are rare",Outside (research),68
Smart Punctuation Preprocessing,"<html lang=''en-US''> plus smartypants pass: straight quotes to curly, -- to em-dash, lone - to en-dash for ranges",Straight quotes and double-hyphens are the #1 typographic tell of Markdown origin; lang attribute also gates hyphenation and line-break per locale,Code blocks must be excluded; other locales use different quote shapes,Real books use curly quotes and em-dashes — tell the renderer the language and run a smart-punctuation pass before publishing,Outside (research),68
Non-Breaking Space Heuristics,"Preprocessor inserts &nbsp; between number+unit (12&nbsp;mm), title+name (Dr.&nbsp;Smith), and between the last two words of every heading",Forces typographically correct word groupings; last-two-words trick is a renderer-agnostic anti-widow that works without text-wrap: pretty,Over-zealous injection prevents legitimate breaks and overflows narrow columns,"A sticky space tells the renderer ''do not break here'' — between number and unit, or between the last two words of a headline",Outside (research),69
Penguin Spaced En-Dash,Replace — with &thinsp;–&thinsp; or &nbsp;–&nbsp; at renderer level — choose per house style (Penguin UK vs Chicago US),Avoids the wall-of-dashes look LLM output produces with default em-dashes; spaced en-dash reads calmer in justified text and gives the H&J engine cleaner break points,Inconsistent with Chicago Manual; jarring for US readers used to closed em-dashes,Americans write ''paused—then continued'' with no spaces; British/Penguin style is ''paused – then continued'' with smaller dash and spaces — the Penguin version is calmer in long paragraphs,Outside (research),61
Hot-Metal Paragraph Break,Either p { text-indent: 1.5em; margin: 0 } (book style) OR p { margin: 0 0 1em; text-indent: 0 } (modern/web) — never both,"Prevents the ''indented AND space-after'' double-mark that LLM-to-Markdown-to-PDF pipelines produce, where every paragraph looks like a fresh section",Indent-only fails on first paragraphs after a heading; space-only consumes more vertical room,A paragraph break can be marked by indent OR space — doing both is wasteful and reads as amateur,"Inside: ascent-renderer, brad + outside research",84
Drop Cap At Chapter Start,::first-letter { initial-letter: 3 2; -webkit-initial-letter: 3 2 } — size in lines + sink; usually paired with small-caps on first 3-5 words,"Chapter openings get visual gravity automatically; the convention itself signals ''this is a book, not a report''",Safari/WebKit only; Chromium does not ship `initial-letter` as of 2026 — needs a manual `float: left` + sized first-letter fallback for Chrome/Puppeteer pipelines. Punctuation-led paragraphs drop the wrong character. Older WeasyPrint/mPDF/Prince need the float-left fallback too.,That oversized first letter at chapter start — a 1600-year-old cue that says ''the story starts here'',"Inside: ascent-renderer, ultimate-designer + outside research",67
Microtype Glyph Protrusion,"pdfTeX \\microtypecontext{protrusion=...,expansion=...} or InDesign Glyph Scaling 98%-102% + Optical Margin Alignment; CSS has no native equivalent",Justified text loses its lake-of-white rivers; the right edge looks straight without obvious stretched word-spaces,Scaling above 2% distorts letter shapes; protrusion changes the geometric measure for designers anchored to a fixed grid,"Pretend each glyph is rubber — stretch the wide ones 1% and pull the punctuation slightly off the edge, and the eye sees a perfect margin without noticing",Outside (research),68
Italic Last Word Heuristic,"For titles >2 words: split as (words[:-1], words[-1]) and italicize the last word only",Arbitrary user titles get a Cormorant italic treatment without manual markup; last word usually carries noun-weight in title-case strings,Breaks for verb-first or stop-word-ending titles; acronyms italicize wrong,Like an editor who always italicizes the last word of a headline for rhythm — consistent even when occasionally imperfect,"Inside: ascent-renderer, ultimate-designer + outside research",77
Lobotomized Owl Selector,".flow > * + * { margin-top: var(--flow-space, 1.5rem); } — applies spacing only between siblings, never on first/last child","Self-correcting: when the generator inserts or omits blocks, top/bottom edges stay flush. Eliminates a whole class of double-margin and missing-bottom-gap bugs","Universal selector specificity quirks; inside flex/grid, gap is preferable","Spacers go between the books on a shelf, not at the ends — so the row always starts flush against the wall",Outside (research),68
WCAG AA Contrast Floor,"Compute relative luminance per WCAG; enforce ≥4.5:1 for text below 18pt regular / 14pt bold, ≥3:1 for larger; build-time CI check",Single deterministic pass/fail; wires into the pipeline to block palette mutations that quietly break readability,Luminance-only — ignores hue perception; pale-yellow on white passes 3:1 but is unreadable,"A noise floor — the foreground text must be N decibels louder than the background, measured the same way every time","Inside: ascent-renderer, brad, doc-design-qa + outside research",89
WCAG AAA Contrast (Institutional),"Same algorithm as AA, threshold 7:1 body / 4.5:1 large; apply selectively to long-form reading surfaces",Right level for institutional documents where boss-criticism on a cold first look matters,Forces near-black-on-white only; washes out warm-cream OKOA-style surfaces,AA is 'I can read this on my phone outside.' AAA is 'I can read this from across the room with sunglasses on.',"Inside: brad, doc-design-qa + outside research",83
APCA Perceptual Contrast,"Compute Lc in 0–±106 range; targets Lc 75 body, Lc 60 large, Lc 90 small/thin; polarity-aware",Reflects human perception; penalizes pale-yellow-on-white that WCAG 2.x passes and rewards thoughtful dark-mode pairings,Not yet normative (WCAG 3 draft); two scoring systems coexist,WCAG 2 measures the gap between two colors; APCA measures whether you can actually read across the gap,Inside: brad + outside research,80
60-30-10 Palette Distribution,"Page area: ~60% dominant neutral, ~30% secondary, ~10% accent — pre-bake into templates",Prevents the ''Christmas tree'' output that LLMs produce when they pick colors per element,"Heuristic; doesn't formalize which colors are which, so easy to game","A room — walls 60%, furniture 30%, throw pillows 10% — reverse the proportions and the room shouts",Outside (research),68
One-Accent Rule,Exactly one hue family marked role: accent; generator forbids more than one chroma >0.12 (OKLCH) on a single composition,Eliminates LLM ''decoration'' with extra brand colors; produces editorial restraint by default,Bad for dashboards or charts that need categorical encoding via color,A red tie on a navy suit is sharp — two red ties is a costume,"Inside: ascent-renderer, design-variants + outside research",77
One Shout Per Slide,Per slide or page: exactly one accent color AND at most one out-sized element (headline number or hero image); everything else lives in a flat tonal range,"LLMs reach for emphasis (bold, color, size) whenever uncertain — producing pages where six things scream. ''One shout'' forces deterministic priority",Looks austere; clients who paid sometimes want to see more ''design effort'',"In a quiet room one voice carries; in a loud room nobody hears anyone — color and size are voices, so only let one of them speak per page",Outside (research),69
OKLCH For Palette Generation,"Generate tonal ramps with fixed H + C, stepped L: oklch(L 0.12 250) where L cycles 0.98, 0.92, ..., 0.10","Equal numeric steps look equal; no per-hue manual tuning, one function builds an entire 11-step ramp",Gamut clipping at high chroma (blues/purples on sRGB); needs in-gamut() clamp pass,HSL is a map where one inch equals one mile in some regions and one mile equals four inches elsewhere — OKLCH is drawn to scale,Inside: forge + outside research,80
Tonal Palette Ramps 50-950,"11-step ramp per hue family (Material 3 / Tailwind style); map semantic tokens to indices, not to hex values",Decouples which shade from which role; a rebrand swaps one hue and all surfaces re-derive automatically,Index does not equal contrast — still need per-pair contrast check,A paint-chip card with 11 shades of the same color — always grab from the same card so the document stays in one family,Outside (research),68
Tinted Warm Neutrals Over Pure Gray,Replace #808080 with hue-tinted neutrals: oklch(0.5 0.01 60) (warm) or oklch(0.5 0.01 240) (cool),Pure grays render ''dead'' in print and on warm LCDs; tinted neutrals feel intentional and brand-coherent,A wrong-direction tint reads worse than pure gray,Studio lights are never pure white — they are 3200K or 5600K. Same with neutrals — give them a temperature,Outside (research),67
Near-Black Instead Of Pure Black,"Use oklch(0.18 0.02 250), #1a1a1a, or #111827 for body text; reserve pure #000 only for ink/print plates",Pure black on warm white looks harsh and clipped; near-black reduces eye-strain and inherits palette temperature,"On low-quality screens or e-paper, near-black can look muddy","Black coffee versus espresso with a single drop of milk — same intent, less harsh","Inside: doc-design-qa, ultimate-designer + outside research",81
Off-White Surface Instead Of Pure White,"Use oklch(0.985 0.005 80), #fafaf7, or #f9f7f2 for body surfaces; reserve pure #fff for elevated cards only","Cuts screen glare, lets the one accent pop without max-contrast harshness, and reads as ''editorial''",Off-white can look dirty in print if not deliberately specified,Book paper isn't bleached white — it is warm cream because the eye glides over it without fighting glare,"Inside: ascent-renderer, brad, design-variants, doc-design-qa, forge, ultimate-designer + outside research",82
Semantic Color Indirection,"Two-tier system: Tier 1 raw palette as CSS custom properties (--sage-80, --coral); Tier 2 semantic intent (primary text, accent, on-success). NEVER use Tier 1 directly",Prevents agents from making ad-hoc color choices; eliminates the most common contrast failures from guessing,"Semantic table is often prose/markdown rather than concrete utility classes, leaving room for misapplication",Like paint-by-numbers — instead of choosing from 100 colors you are told ''sky areas use color 7'' and you can't paint the sky red,Inside: brad + outside research,76
Signal Color Four-State Vocabulary,"Define exactly four semantic states each with a text/border color and a light surface background: caution (amber on cream), pass (green on mint), risk (deep red), info (slate on pale blue)","Creates a consistent visual language for alerts, notes, callouts and risk boxes — every warning is drawn from the same four-color vocabulary",Caution amber on cream surface may have insufficient WCAG AA contrast; cultural mismatch (red is lucky in CN),A traffic-light vocabulary baked into the template — the designer establishes four ''alert'' colors once and every box pulls from the same set,"Inside: ascent-renderer, brad, design-variants, doc-design-qa + outside research",84
Color-Blind Safe Categorical Palette,"Default qualitative palette = Okabe-Ito 8-color: #000000, #E69F00, #56B4E9, #009E73, #F0E442, #0072B2, #D55E00, #CC79A7",~8% of men have deuteranopia/protanopia; ships correct-by-construction without per-document review,Okabe-Ito looks slightly ''scientific'' — not always brand-on for marketing,"Wheelchair ramps at the front door — everyone walks in, nobody has to ask",Inside: design-variants + outside research,81
CMYK-Safe Print Clamp,Clamp output palette to gamut-reachable values (fogra39 or swop) and avoid pure-sRGB neons; keep total ink coverage <300%,Print PDF output will not surprise the user with washed-out greens or muddy blues,Shrinks the designer palette substantially,Your monitor can shout colors a printer can only whisper — clamp before sending to press,Outside (research),66
Diverging Palettes Centered On Zero,"For diverging scales explicitly set midpoint = 0 (or = median); auto-detect from data — if min < 0 < max, force diverging",Auto-correct chart family choice from data shape; never reuse sequential for signed data,Mid-tone neutral can dominate when data is heavily skewed,Profit and loss share an axis only if zero is the visible pivot — otherwise the chart lies about which is which,Outside (research),69
Hero Color Routing By Doc Type,"Prescriptive map: master architecture → sage, loan origination → coral, due-diligence → navy, security/risk → ink, executive → sage with photo. Mechanical lookup, no aesthetic judgement",Eliminates color choice entirely for hero backgrounds — the agent identifies the document type and reads the correct color from a table,Documents spanning multiple types (an exec summary of a security architecture) have no rule for the conflict; bakes in OKOA-specific associations,"Like a hospital color-coding system where every department has a specific scrub color — staff don't decide what to wear, the role decides",Inside: brad,67
Section Background Alternation,Never place two same-background sections adjacent. Alternate default neutral → white → default → dark-color → default → ink → closing. Place colored sections at narrative inflection points,Forces visual rhythm into the document automatically; gives readers perceptual landmarks without designing each transition,"Inflection-point placement is judgment-dependent, not mechanical","Like a restaurant menu where appetizers, mains, and desserts alternate visual weight — structure creates navigation cues without explicit labels",Inside: brad,67
Light-Dark Token Pairing,:root (light) and :root[data-theme=''dark''] paired token definitions; or CSS light-dark() function for inline pairing,Single source-of-truth for theming; one template renders both modes from the same source,PDF rendering pipelines often ignore prefers-color-scheme — need explicit mode selection,"A double-sided menu — same dishes, different lighting on each side","Inside: ascent-renderer, brad, design-variants, doc-design-qa, forge, ultimate-designer + outside research",82
Carbon 16-Column Grid,"display: grid; grid-template-columns: repeat(16, 1fr); column-gap: 32px; — three gutter modes: wide 32px, narrow 16px, condensed 1px",16 columns divides cleanly into 1/2/4/8 so every common card layout has integer column spans; lets an LLM emit grid-column: span 8 without computing pixel widths,Generous for letter-size print; sub-column rounding errors at non-power-of-2 spans (span 3 of 16),Like a bookshelf with 16 evenly-spaced slots — any item you put on it lines up because you can only choose slot-edges,"Inside: ascent-renderer, forge + outside research",82
Bootstrap 12-Column Grid,"display: grid; grid-template-columns: repeat(12, 1fr); gap: 24px; — 12 factors as 2, 3, 4, 6","Natively supports halves, thirds, quarters and sixths — much easier than 16 if the content model includes triplets",Halves and quarters share a column boundary; eighths are impossible,"A clock face — 12 hours subdivides cleanly into halves, thirds, and quarters, but never into eighths","Inside: ascent-renderer, forge, ultimate-designer + outside research",81
8pt Spacing With 4pt Type Sub-Grid,"All margin, padding, gap, and box dimensions are multiples of 8px; typography line-heights and cap-height adjustments use the finer 4pt sub-grid",Reduces the spacing-token vocabulary from a continuum to ~6 named values; catches drift like 15px or 13px against the 16px rhythm,Forces rounding at the edges of clamp() ranges; the 4 vs 8 distinction is easy to confuse in code review,Like LEGO bricks — every piece snaps to the same stud spacing so anything you build fits together cleanly,Outside (research),66
Grid-Template-Areas Named Slots,.slide { display: grid; grid-template-areas: ''eyebrow eyebrow'' ''kicker body'' ''footer footer''; } and .eyebrow { grid-area: eyebrow },Decouples content semantics from coordinates — an LLM emits content keyed by area name and never computes pixel positions,Each row must declare all columns (no sparse syntax); rectangular regions only — no L-shapes,ASCII art for layout — you literally draw the page in your CSS and content slots into the named cells,"Inside: ascent-renderer, brad, design-variants, doc-design-qa, ultimate-designer + outside research",82
CSS Subgrid For Card Alignment,.card { display: grid; grid-template-rows: subgrid; grid-row: span 3; } so sibling cards share row tracks,Eliminates the ''card heights don't match'' failure in generated portfolio grids and KPI strips without fixed heights or JS,Padding on the subgrid container shifts tracks and breaks alignment; not yet supported in older Puppeteer Chromium,Like a choir — every singer follows the same conductor so the same beat lands across cards no matter who is singing,Outside (research),67
Aspect-Ratio For Image Slots,.img-slot { aspect-ratio: 16 / 9; width: 100%; } pre-reserves layout space before the image loads; pair with object-fit: cover,Guarantees deterministic page totals — generator estimates how many photo-cards fit before network fetches; CLS goes to zero,"At least one dimension must be auto for the rule to apply; in print, intrinsic ratio still wins if both dimensions are explicit",Like a picture frame hung on the wall — the frame is up first and whatever photo you slide in gets cropped to fit,"Inside: ascent-renderer, design-variants, ultimate-designer + outside research",82
Clamp() Fluid Typography,"font-size: clamp(1rem, 0.8rem + 0.5vw, 1.5rem); padding: clamp(16px, 4vw, 48px) — min, preferred, max",Removes the need to emit media queries for each breakpoint; one declaration produces a continuous responsive curve,For paged-media output viewport units are meaningless — clamp resolves to the preferred value at print time; print pipelines should pre-compute,Like a thermostat with min/max bounds — the room temperature drifts with weather but never goes below 18 or above 24,Inside: brad + outside research,78
Manuscript Grid For Long Prose,"One column, wide margins (≥1.25in / 32mm outer, ≥1in / 25mm inner); measure 60-75 characters per line, max-width: 65ch; margin-inline: auto","For memos, legal opinions, narrative reports a single-column generator produces the most legible result — sometimes skipping the grid is the correct technical choice","Cannot host data tables, charts, or marginalia without breaking out; visually boring at glance — wrong for marketing decks","A book page — one column, fat margins for your thumbs, and a comfortable line length for your eye",Outside (research),67
Five Elements Max Per Page,"Hard-cap top-level children per slide/page: ≤5 distinct visual objects (headline, supporting line, ≤3 evidence blocks); enforce at YAML/JSON ingest time",Self-policing complexity; prevents the ''kitchen sink'' slide LLMs produce when given verbose source material — forces consolidation upstream,"Data-dense audiences (finance, IC decks) sometimes need 8-12 elements; cap must be slide-class-aware",Like a five-item dinner plate — beyond that the dish becomes a buffet and nobody knows what to taste first,Outside (research),67
Four Working-Memory Chunks,Max 4 ± 1 distinct visual items in the body of any single composition; groups of three KPIs become one ''metric grid'' chunk,Caps the YAML-to-render explosion when the LLM extracts 9 facts and dumps all 9; respects short-term memory limits,"Loses the dense executive-summary slide some audiences expect (boards, scientific posters)",Short-term memory is a four-slot tray — set out seven dishes and the audience picks four and forgets three,Outside (research),68
Rule Of Thirds Focal Placement,Divide the canvas into 9 cells (3×3); place the focal point on one of the four interior intersections. CSS: object-position: 33% 33% or 66% 33%,"Cheap deterministic substitute for taste — a generator placing a portrait should default to upper-right third with caption lower-left, never centered","Wrong for symmetrical compositions (Bauhaus dead-center); heuristic, not a rule — overrides itself when the subject has a strong horizon","Tic-tac-toe board over the photo — drop your subject on a cross-mark, not the middle square",Inside: brad + outside research,78
Golden Ratio Two-Column Split,"Two-column layout: main 61.8%, sidebar 38.2%; CSS: grid-template-columns: 1.618fr 1fr",A single literal value (1.618) replaces a judgment call; never produces the awkward 60/40 or 70/30 split that looks computed,Folk-overclaimed — many ''golden'' layouts test no better than thirds; don't apply blindly to grids,"A waltz beat — strong, weaker, weaker — 61.8 vs 38.2 feels like the larger leads the smaller","Inside: ascent-renderer, brad, design-variants, doc-design-qa, forge, ultimate-designer + outside research",82
F-Pattern Vs Z-Pattern Templates,"Content-heavy pages: headline top-left, summary below, key bullets on left margin (F-pattern, Nielsen 2006). Sparse hero pages: headline top-left, hero top-right, CTA bottom-right (Z-pattern). Pick template based on word count","Lets the generator pick a template from a measured content property (word count >150 = F, ≤150 = Z) and removes a recurring ''wrong template'' failure","RTL languages reverse both; tablet/mobile collapses Z to a vertical stack, losing the pattern",F-pattern is reading a newspaper column; Z-pattern is reading a postcard,"Inside: brad, design-variants, doc-design-qa, forge + outside research",82
Müller-Brockmann Modular Grid,Define both modules (rectangular cells = one text-line × one column) and a baseline grid; every block snaps to N modules wide × M modules tall,"Two-axis snapping — vertical rhythm and horizontal column structure speak the same vocabulary, so headlines, images and captions stack predictably",Requires the text-line and column widths to be pre-set; dynamic content overflowing a module needs explicit span rules or truncation,Graph paper for designers — both axes are ruled so you can only place rectangles on integer coordinates,Outside (research),68
Asymmetric Swiss Layout,Place dominant elements at column 1 or column 8 of a 16-column grid (not centered); pair with generous left or right whitespace,"Auto-generated decks/reports escape the ''centered title, centered subtitle, centered logo'' cliché; asymmetry tells the eye where to start",Easy to do wrong (off-balance without purpose looks broken); slide aspect ratios fight asymmetric grids,Don't center everything — put the headline on the left edge and let the right two-thirds be empty. The page balances because empty space has weight,Outside (research),68
