node_id,short_name,kind,description,actor,date,session,labels,importance,risk_category,notes
PAT-02,transcript-as-source-of-truth,PATTERN,"Every turn hits disk immediately; conversation memory is never authoritative",architect-preeng,2026-07-07,preeng-003-investment-committee,pattern;durability,high,platform,"dr2/fin-stmt discipline"
BLK-03,concentration + fraud silent PASS,BLOCKER,"If N agents each read only the deal folder, fund concentration and financial-statement veracity are nobody's job and get a silent PASS",swarm-agent-02,2026-07-07,preeng-003-investment-committee,coverage;fraud,high,coverage,"Two default-invisible risks"
TOOL-03,16-risk coverage map + check_coverage.py,TOOL,"A machine-checkable map asserting every one of the 16 risk categories has a named owning seat",architect-preeng,2026-07-07,preeng-003-investment-committee,coverage;roster,medium,coverage,"SLICE-A1"
FIND-03,two risks nobody's job by default,FINDING,"Concentration needs a fund-scoped seat with loan-tape access; statement veracity needs an explicit adversarial fraud mandate",swarm-agent-02,2026-07-07,preeng-003-investment-committee,coverage;fraud,high,coverage,"Agent 02"
DEC-03,fund-scoped Portfolio seat + adversarial Fraud mandate,DECISION,"Portfolio seat is fund-scoped (reads the loan tape, not deal-scoped); Fraud seat assumes numbers fabricated until externally corroborated",architect-preeng,2026-07-07,preeng-003-investment-committee,roster;fraud,high,coverage,"spec FR-M17 / FR-M18"
ART-03,roster.yaml + coverage-map.yaml,ARTIFACT,"SLICE-A1 roster + coverage map; SLICE-A2 seat prompts encode the mandates",developer-planned,2026-07-07,preeng-003-investment-committee,artifact;slice-A1,high,coverage,"Zero uncovered category"
OUT-03,zero uncovered risk category,OUTCOME,"Every one of the 16 risk categories has a named owning seat; concentration and fraud cannot get a silent PASS",architect-preeng,2026-07-07,preeng-003-investment-committee,outcome;coverage,high,coverage,"metric-risk-coverage"
PAT-03,advocate-not-scrutineer + standing-hole-checklist,PATTERN,"Structural separation of the deal advocate from the adversarial credit seat plus an explicitly-cleared standing hole-category checklist",architect-preeng,2026-07-07,preeng-003-investment-committee,pattern;independence,high,coverage,"three-lines-of-defense"
BLK-04,Axis S absent from engine,BLOCKER,"axiom-synthesis grades TRUTH not severity; a stale insurance cert and a no-enforceable-lien objection grade identically today",swarm-agent-07,2026-07-07,preeng-003-investment-committee,engine;severity,high,engine,"Requires a domain-owned extension"
TOOL-04,IC fact-builder adapter,TOOL,"Maps each Objection onto process_fact fields and attaches _ic_extension_severity (Axis S)",architect-preeng,2026-07-07,preeng-003-investment-committee,adapter;axis-s,high,engine,"SLICE-C1; no engine change"
DEC-04,Axis S domain-owned extension never blended,DECISION,"Add Axis S on a fixed ordinal ladder stored alongside Axis A/B and never blended with them",architect-preeng,2026-07-07,preeng-003-investment-committee,severity;determinism,high,engine,"spec FR-M5"
ART-04,fact_builder.py + _ic_extension_severity,ARTIFACT,"SLICE-C1 emits facts carrying the severity blob; deal-breaker derived at render time",developer-planned,2026-07-07,preeng-003-investment-committee,artifact;slice-C1,high,engine,"is-it-true vs is-it-fatal separated"
PAT-04,reuse-over-rebuild,PATTERN,"The IC skill is a thin orchestrator + domain adapter over axiom-synthesis + legal-analyst + Wigum/consensus/blind-dispatch",architect-preeng,2026-07-07,preeng-003-investment-committee,pattern;reuse,high,engine,"Agents 04/07/10 independently"
BLK-05,autopilot-active silent auto-answer,BLOCKER,"The autopilot-askuserquestion-handler auto-picks the Recommended option so the human pause never reaches a human",swarm-agent-04,2026-07-07,preeng-003-investment-committee,hitl;autopilot,high,governance,"Defeats HITL if undetected"
DEC-05,detect autopilot; refuse deep-pause or batch,DECISION,"Detect .acos/state/autopilot-active; refuse deep-pause Mode B or fall back to documented batch mode; Recommended option safe under auto-pick",architect-preeng,2026-07-07,preeng-003-investment-committee,autopilot;guardrail,high,governance,"spec FR-M20"
ART-05,guardrails.py autopilot detection,ARTIFACT,"SLICE-F1 guardrail suite including the autopilot state-file check and safe Recommended pause",developer-planned,2026-07-07,preeng-003-investment-committee,artifact;slice-F1,high,governance,"Smoke-test once skill exists"
TOOL-05,legal-analyst /acos-legal-analysis,TOOL,"Existing lending-diligence agent (A1-A8) producing findings-manifest.yaml and red-flags.yaml",swarm-agent-10,2026-07-07,preeng-003-investment-committee,reuse;legal,high,compliance,"Delegate, do not re-derive"
DEC-06,delegate legal + compliance companion + conflicts,DECISION,"Reuse legal-analyst; add a companion for its four gaps (usury/licensing, AML/KYC/OFAC, foreclosure, Phase I) and emit conflicts-disclosure.yaml",architect-preeng,2026-07-07,preeng-003-investment-committee,legal;compliance,high,compliance,"spec FR-M15/M16/M19"
ART-06,legal_seat.py + conflicts-disclosure.yaml,ARTIFACT,"SLICE-E1 re-projects red-flags into voting format, runs the four-gap checks, emits the per-run conflicts record",developer-planned,2026-07-07,preeng-003-investment-committee,artifact;slice-E1,medium,compliance,"SEC 2026 fiduciary focus"
ANTI-01,consensus-as-correctness,ANTI_PATTERN,"Terminating a round because all agents agree; debate cannot exceed the strongest participant",swarm-agent-03,2026-07-07,preeng-003-investment-committee,anti;debate,high,groupthink,"Never terminate on consensus"
ANTI-02,LLM-narrated verdict (MoA blend),ANTI_PATTERN,"A synthesizer LLM narrating or blending away the verdict/disagreement instead of a deterministic computation",swarm-agent-07,2026-07-07,preeng-003-investment-committee,anti;verdict,high,engine,"Route conflicts through resolve_conflict()"
ANTI-03,silent concentration/fraud pass,ANTI_PATTERN,"N agents each read only the deal folder so concentration and statement veracity get a zero-effort silent PASS",swarm-agent-02,2026-07-07,preeng-003-investment-committee,anti;coverage,high,coverage,"Countered by fund-scoped seat + fraud mandate"
ANTI-04,correlated same-model ensemble,ANTI_PATTERN,"N copies of one model share errors (0.679 vs 0.396 cross-family); 10 same-model agents behave like ~1.4 independent forecasters",swarm-agent-06,2026-07-07,preeng-003-investment-committee,anti;diversity,medium,groupthink,"Reduced-independence flag when single-provider"
