rank,name,domain,verdict_com,checked_at_utc,lookup_channel,greek_seed_word,greek_root_sense,letters_changed_from_seed,syllables,letters,ends_with,zee_shape,sound_pattern,cluster,relevance_0_2,meaning_0_2,sound_0_2,min_score,avg_score,flags,association_note,trademark_note,spelling_notes,substring_note
11,emblip,emblip.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,emblem,emblema (inlaid work),2,2,6,p,"one cluster, other shape",VCCCVC,mbl,1,2,1,1,1.33,,,,,
12,emblug,emblug.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,emblem,emblema (inlaid work),2,2,6,g,"one cluster, other shape",VCCCVC,mbl,1,2,1,1,1.33,,,,,
13,chorur,chorur.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,chorus,"choros (dance, chorus)",1,2,6,r,off-frame,CVCVC,,1,2,1,1,1.33,spelling-notes:1,,,unstressed final -er/-or/-ar — commonly confused,
14,chorut,chorut.com,AVAILABLE,2026-07-25T07:00:23.460Z,rdap:iana-bootstrap,chorus,"choros (dance, chorus)",1,2,6,t,off-frame,CVCVC,,1,2,1,1,1.33,,,,,
15,chorec,chorec.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,chorus,"choros (dance, chorus)",2,2,6,c,off-frame,CVCVC,,1,2,1,1,1.33,,,,,
16,chorog,chorog.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,chorus,"choros (dance, chorus)",2,2,6,g,off-frame,CVCVC,,1,2,1,1,1.33,,,,,
17,tympir,tympir.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,tympan,tympanon (drum),2,2,6,r,CVCCVC mid-crunch,CVCCVC,mp,1,1,1,1,1,spelling-notes:2,,,unstressed final -er/-or/-ar — commonly confused; 'y' as a vowel — may be written as 'i',
18,tympur,tympur.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,tympan,tympanon (drum),2,2,6,r,CVCCVC mid-crunch,CVCCVC,mp,1,1,1,1,1,spelling-notes:2,,,unstressed final -er/-or/-ar — commonly confused; 'y' as a vowel — may be written as 'i',
19,syrunc,syrunc.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,syrinx,"syrinx (pipe, channel)",2,2,6,c,"one cluster, other shape",CVCVCC,nc,1,1,1,1,1,spelling-notes:1,,,'y' as a vowel — may be written as 'i',
20,bathip,bathip.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,bathos,bathos (depth),2,2,6,p,off-frame,CVCVC,,1,1,1,1,1,,,,,
21,daimum,daimum.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,daimon,daimon (guiding spirit),2,2,6,m,off-frame,CVVCVC,,1,1,1,1,1,spelling-notes:1,,,vowel digraph — several plausible spellings,
22,hymnel,hymnel.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,hymnal,hymnos (song of praise),1,2,6,l,CVCCVC mid-crunch,CVCCVC,mn,0,2,2,0,1.33,spelling-notes:1,,,'y' as a vowel — may be written as 'i',
23,hymnil,hymnil.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,hymnal,hymnos (song of praise),1,2,6,l,CVCCVC mid-crunch,CVCCVC,mn,0,2,2,0,1.33,spelling-notes:1,,,'y' as a vowel — may be written as 'i',
24,hymnol,hymnol.com,AVAILABLE,2026-07-25T07:00:23.461Z,rdap:iana-bootstrap,hymnal,hymnos (song of praise),1,2,6,l,CVCCVC mid-crunch,CVCCVC,mn,0,2,2,0,1.33,spelling-notes:1,,,'y' as a vowel — may be written as 'i',
25,hymnul,hymnul.com,AVAILABLE,2026-07-25T07:00:23.461Z,rdap:iana-bootstrap,hymnal,hymnos (song of praise),1,2,6,l,CVCCVC mid-crunch,CVCCVC,mn,0,2,2,0,1.33,spelling-notes:1,,,'y' as a vowel — may be written as 'i',
26,martyp,martyp.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,martyr,martys (witness),1,2,6,p,CVCCVC mid-crunch,CVCCVC,rt,0,2,2,0,1.33,spelling-notes:1,,,'y' as a vowel — may be written as 'i',
27,mertyr,mertyr.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,martyr,martys (witness),1,2,6,r,CVCCVC mid-crunch,CVCCVC,rt,0,2,2,0,1.33,spelling-notes:1,,,'y' as a vowel — may be written as 'i',
28,murtyr,murtyr.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,martyr,martys (witness),1,2,6,r,CVCCVC mid-crunch,CVCCVC,rt,0,2,2,0,1.33,spelling-notes:1,,,'y' as a vowel — may be written as 'i',
29,gorgum,gorgum.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,gorgon,Gorgo (the Gorgon),2,2,6,m,CVCCVC mid-crunch,CVCCVC,rg,0,2,2,0,1.33,,,,,
30,hymnec,hymnec.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,hymnal,hymnos (song of praise),2,2,6,c,CVCCVC mid-crunch,CVCCVC,mn,0,2,2,0,1.33,spelling-notes:1,,,'y' as a vowel — may be written as 'i',
31,hymnum,hymnum.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,hymnal,hymnos (song of praise),2,2,6,m,CVCCVC mid-crunch,CVCCVC,mn,0,2,2,0,1.33,spelling-notes:1,,,'y' as a vowel — may be written as 'i',
32,hymnut,hymnut.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,hymnal,hymnos (song of praise),2,2,6,t,CVCCVC mid-crunch,CVCCVC,mn,0,2,2,0,1.33,spelling-notes:1,,,'y' as a vowel — may be written as 'i',
33,talcol,talcol.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,talcum,talkos (talc),2,2,6,l,CVCCVC mid-crunch,CVCCVC,lc,0,2,2,0,1.33,,,,,
34,tropog,tropog.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,tropic,tropikos (of the turning),2,2,6,g,CCVCVC onset-crunch,CCVCVC,tr,0,2,2,0,1.33,,,,,
35,tropur,tropur.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,tropic,tropikos (of the turning),2,2,6,r,CCVCVC onset-crunch,CCVCVC,tr,0,2,2,0,1.33,spelling-notes:1,,,unstressed final -er/-or/-ar — commonly confused,
36,siphok,siphok.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,siphon,"siphon (tube, pipe)",1,2,6,k,off-frame,CVCVC,,2,2,0,0,1.33,spelling-notes:1,,,'ph' vs 'f' — listeners split on which one they write,
37,siphup,siphup.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,siphon,"siphon (tube, pipe)",2,2,6,p,off-frame,CVCVC,,2,2,0,0,1.33,spelling-notes:1,,,'ph' vs 'f' — listeners split on which one they write,
38,cymbar,cymbar.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,cymbal,kymbalon (cymbal),1,2,6,r,CVCCVC mid-crunch,CVCCVC,mb,0,2,1,0,1,spelling-notes:2,,,unstressed final -er/-or/-ar — commonly confused; 'y' as a vowel — may be written as 'i',
39,gypsul,gypsul.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,gypsum,"gypsos (chalk, plaster)",1,2,6,l,CVCCVC mid-crunch,CVCCVC,ps,0,2,1,0,1,spelling-notes:2,,,'y' as a vowel — may be written as 'i'; silent-letter cluster,
40,hectip,hectip.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,hectic,"hektikos (habitual, feverish)",1,2,6,p,CVCCVC mid-crunch,CVCCVC,ct,0,2,1,0,1,,,,,
41,hectuc,hectuc.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,hectic,"hektikos (habitual, feverish)",1,2,6,c,CVCCVC mid-crunch,CVCCVC,ct,0,2,1,0,1,,,,,
42,hymnar,hymnar.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,hymnal,hymnos (song of praise),1,2,6,r,CVCCVC mid-crunch,CVCCVC,mn,0,2,1,0,1,spelling-notes:2,,,unstressed final -er/-or/-ar — commonly confused; 'y' as a vowel — may be written as 'i',
43,marnyr,marnyr.com,AVAILABLE,2026-07-25T07:00:23.461Z,rdap:iana-bootstrap,martyr,martys (witness),1,2,6,r,CVCCVC mid-crunch,CVCCVC,rn,0,2,1,0,1,spelling-notes:1,,,'y' as a vowel — may be written as 'i',
44,despag,despag.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,despot,despotes (master),2,2,6,g,CVCCVC mid-crunch,CVCCVC,sp,0,2,1,0,1,,,,,
45,dolmop,dolmop.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,dolmen,Gk-adjacent megalith term,2,2,6,p,CVCCVC mid-crunch,CVCCVC,lm,0,1,2,0,1,,,,,
46,dolmul,dolmul.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,dolmen,Gk-adjacent megalith term,2,2,6,l,CVCCVC mid-crunch,CVCCVC,lm,0,1,2,0,1,,,,,
47,gypsal,gypsal.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,gypsum,"gypsos (chalk, plaster)",2,2,6,l,CVCCVC mid-crunch,CVCCVC,ps,0,2,1,0,1,spelling-notes:2,,,'y' as a vowel — may be written as 'i'; silent-letter cluster,
48,hymnir,hymnir.com,AVAILABLE,2026-07-25T07:00:23.463Z,rdap:iana-bootstrap,hymnal,hymnos (song of praise),2,2,6,r,CVCCVC mid-crunch,CVCCVC,mn,0,2,1,0,1,spelling-notes:2,,,unstressed final -er/-or/-ar — commonly confused; 'y' as a vowel — may be written as 'i',
49,hymnor,hymnor.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,hymnal,hymnos (song of praise),2,2,6,r,CVCCVC mid-crunch,CVCCVC,mn,0,2,1,0,1,spelling-notes:2,,,unstressed final -er/-or/-ar — commonly confused; 'y' as a vowel — may be written as 'i',
50,peplat,peplat.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,peplum,peplos (robe),2,2,6,t,CVCCVC mid-crunch,CVCCVC,pl,0,1,2,0,1,,,,,
51,peplor,peplor.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,peplum,peplos (robe),2,2,6,r,CVCCVC mid-crunch,CVCCVC,pl,0,1,2,0,1,spelling-notes:1,,,unstressed final -er/-or/-ar — commonly confused,
52,tarsug,tarsug.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,tarsal,tarsos (flat of the foot),2,2,6,g,CVCCVC mid-crunch,CVCCVC,rs,0,1,2,0,1,,,,,
53,telsug,telsug.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,telson,telson (last segment),2,2,6,g,CVCCVC mid-crunch,CVCCVC,ls,0,1,2,0,1,,,,,
54,xystam,xystam.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,xystus,xystos (covered colonnade),2,2,6,m,CVCCVC mid-crunch,CVCCVC,st,0,1,2,0,1,spelling-notes:1,,,'y' as a vowel — may be written as 'i',
55,narcut,narcut.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,narcotic,narke (numbness),3,2,6,t,CVCCVC mid-crunch,CVCCVC,rc,0,1,2,0,1,,,,,
56,sarceg,sarceg.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,sarcoma,sarx/sarkos (flesh),3,2,6,g,CVCCVC mid-crunch,CVCCVC,rc,0,1,2,0,1,spelling-notes:1,,,soft 'c' before e/i — may be written as 's',
57,sarcic,sarcic.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,sarcoma,sarx/sarkos (flesh),3,2,6,c,CVCCVC mid-crunch,CVCCVC,rc,0,1,2,0,1,spelling-notes:1,,,soft 'c' before e/i — may be written as 's',
58,narceg,narceg.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,narcotic,narke (numbness),4,2,6,g,CVCCVC mid-crunch,CVCCVC,rc,0,1,2,0,1,spelling-notes:1,,,soft 'c' before e/i — may be written as 's',
59,ptosil,ptosil.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,ptosis,ptosis (a falling),1,2,6,l,CCVCVC onset-crunch,CCVCVC,pt,0,1,2,0,1,,,,,
60,ptosir,ptosir.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,ptosis,ptosis (a falling),1,2,6,r,CCVCVC onset-crunch,CCVCVC,pt,0,1,2,0,1,spelling-notes:1,,,unstressed final -er/-or/-ar — commonly confused,
61,ptosum,ptosum.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,ptosis,ptosis (a falling),2,2,6,m,CCVCVC onset-crunch,CCVCVC,pt,0,1,2,0,1,,,,,
62,laronx,laronx.com,AVAILABLE,2026-07-25T07:00:23.461Z,rdap:iana-bootstrap,larynx,larynx (voice box),1,2,6,x,"one cluster, other shape",CVCVCC,nx,0,2,1,0,1,,,,,
63,larync,larync.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,larynx,larynx (voice box),1,2,6,c,"one cluster, other shape",CVCVCC,nc,0,2,1,0,1,spelling-notes:1,,,'y' as a vowel — may be written as 'i',
64,larynk,larynk.com,AVAILABLE,2026-07-25T07:00:23.461Z,rdap:iana-bootstrap,larynx,larynx (voice box),1,2,6,k,"one cluster, other shape",CVCVCC,nk,0,2,1,0,1,spelling-notes:1,,,'y' as a vowel — may be written as 'i',
65,larynm,larynm.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,larynx,larynx (voice box),1,2,6,m,"one cluster, other shape",CVCVCC,nm,0,2,1,0,1,spelling-notes:1,,,'y' as a vowel — may be written as 'i',
66,larynt,larynt.com,AVAILABLE,2026-07-25T07:00:23.461Z,rdap:iana-bootstrap,larynx,larynx (voice box),1,2,6,t,"one cluster, other shape",CVCVCC,nt,0,2,1,0,1,spelling-notes:1,,,'y' as a vowel — may be written as 'i',
67,tyranc,tyranc.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,tyrant,tyrannos (absolute ruler),1,2,6,c,"one cluster, other shape",CVCVCC,nc,0,2,1,0,1,spelling-notes:1,,,'y' as a vowel — may be written as 'i',
68,tyrank,tyrank.com,AVAILABLE,2026-07-25T07:00:23.462Z,rdap:iana-bootstrap,tyrant,tyrannos (absolute ruler),1,2,6,k,"one cluster, other shape",CVCVCC,nk,0,2,1,0,1,spelling-notes:1,,,'y' as a vowel — may be written as 'i',
69,tyranm,tyranm.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,tyrant,tyrannos (absolute ruler),1,2,6,m,"one cluster, other shape",CVCVCC,nm,0,2,1,0,1,spelling-notes:1,,,'y' as a vowel — may be written as 'i',
70,tyranx,tyranx.com,AVAILABLE,2026-07-25T07:00:23.462Z,rdap:iana-bootstrap,tyrant,tyrannos (absolute ruler),1,2,6,x,"one cluster, other shape",CVCVCC,nx,0,2,1,0,1,spelling-notes:1,,,'y' as a vowel — may be written as 'i',
71,tyront,tyront.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,tyrant,tyrannos (absolute ruler),1,2,6,t,"one cluster, other shape",CVCVCC,nt,0,2,1,0,1,spelling-notes:1,,,'y' as a vowel — may be written as 'i',
72,laryml,laryml.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,larynx,larynx (voice box),2,2,6,l,"one cluster, other shape",CVCVCC,ml,0,2,1,0,1,spelling-notes:1,,,'y' as a vowel — may be written as 'i',
73,lirynk,lirynk.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,larynx,larynx (voice box),2,2,6,k,"one cluster, other shape",CVCVCC,nk,0,2,1,0,1,spelling-notes:1,,,'y' as a vowel — may be written as 'i',
74,tyrarl,tyrarl.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,tyrant,tyrannos (absolute ruler),2,2,6,l,"one cluster, other shape",CVCVCC,rl,0,2,1,0,1,spelling-notes:1,,,'y' as a vowel — may be written as 'i',
75,bishoc,bishoc.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,bishop,episkopos (overseer),1,2,6,c,off-frame,CVCVC,,0,2,1,0,1,,,,,
76,bishog,bishog.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,bishop,episkopos (overseer),1,2,6,g,off-frame,CVCVC,,0,2,1,0,1,,,,,
77,bishol,bishol.com,AVAILABLE,2026-07-25T07:00:23.460Z,rdap:iana-bootstrap,bishop,episkopos (overseer),1,2,6,l,off-frame,CVCVC,,0,2,1,0,1,,,,,
78,bishom,bishom.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,bishop,episkopos (overseer),1,2,6,m,off-frame,CVCVC,,0,2,1,0,1,,,,,
79,bishox,bishox.com,AVAILABLE,2026-07-25T07:00:23.460Z,rdap:iana-bootstrap,bishop,episkopos (overseer),1,2,6,x,off-frame,CVCVC,,0,2,1,0,1,,,,,
80,hyphec,hyphec.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,hyphen,hyphen (under one),1,2,6,c,off-frame,CVCVC,,1,2,0,0,1,spelling-notes:2,,,'ph' vs 'f' — listeners split on which one they write; 'y' as a vowel — may be written as 'i',
81,myopec,myopec.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,myopic,myops (short-sighted),1,2,6,c,off-frame,CVVCVC,,0,2,1,0,1,,,,,
82,myopil,myopil.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,myopic,myops (short-sighted),1,2,6,l,off-frame,CVVCVC,,0,2,1,0,1,,,,,
83,myopim,myopim.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,myopic,myops (short-sighted),1,2,6,m,off-frame,CVVCVC,,0,2,1,0,1,,,,,
84,myopir,myopir.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,myopic,myops (short-sighted),1,2,6,r,off-frame,CVVCVC,,0,2,1,0,1,spelling-notes:1,,,unstressed final -er/-or/-ar — commonly confused,
85,myopuc,myopuc.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,myopic,myops (short-sighted),1,2,6,c,off-frame,CVVCVC,,0,2,1,0,1,,,,,
86,mythim,mythim.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,mythic,mythos (story),1,2,6,m,off-frame,CVCVC,,0,2,1,0,1,spelling-notes:1,,,'y' as a vowel — may be written as 'i',
87,mythip,mythip.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,mythic,mythos (story),1,2,6,p,off-frame,CVCVC,,0,2,1,0,1,spelling-notes:1,,,'y' as a vowel — may be written as 'i',
88,phobil,phobil.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,phobic,phobos (fear),1,2,6,l,off-frame,CVCVC,,0,2,1,0,1,spelling-notes:1,,,'ph' vs 'f' — listeners split on which one they write,
89,phobim,phobim.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,phobic,phobos (fear),1,2,6,m,off-frame,CVCVC,,0,2,1,0,1,spelling-notes:1,,,'ph' vs 'f' — listeners split on which one they write,
90,phobir,phobir.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,phobic,phobos (fear),1,2,6,r,off-frame,CVCVC,,0,2,1,0,1,spelling-notes:2,,,'ph' vs 'f' — listeners split on which one they write; unstressed final -er/-or/-ar — commonly confused,
91,physuc,physuc.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,physic,physis (nature),1,2,6,c,off-frame,CVCVC,,1,2,0,0,1,spelling-notes:2,,,'ph' vs 'f' — listeners split on which one they write; 'y' as a vowel — may be written as 'i',
92,thymuc,thymuc.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,thymus,"thymos (spirit, gland)",1,2,6,c,off-frame,CVCVC,,0,2,1,0,1,spelling-notes:1,,,'y' as a vowel — may be written as 'i',
93,thymul,thymul.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,thymus,"thymos (spirit, gland)",1,2,6,l,off-frame,CVCVC,,0,2,1,0,1,spelling-notes:1,,,'y' as a vowel — may be written as 'i',
94,thymum,thymum.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,thymus,"thymos (spirit, gland)",1,2,6,m,off-frame,CVCVC,,0,2,1,0,1,spelling-notes:1,,,'y' as a vowel — may be written as 'i',
95,thymur,thymur.com,AVAILABLE,2026-07-25T07:00:23.462Z,rdap:iana-bootstrap,thymus,"thymos (spirit, gland)",1,2,6,r,off-frame,CVCVC,,0,2,1,0,1,spelling-notes:2,,,unstressed final -er/-or/-ar — commonly confused; 'y' as a vowel — may be written as 'i',
96,thymut,thymut.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,thymus,"thymos (spirit, gland)",1,2,6,t,off-frame,CVCVC,,0,2,1,0,1,spelling-notes:1,,,'y' as a vowel — may be written as 'i',
97,thymux,thymux.com,AVAILABLE,2026-07-25T07:00:23.462Z,rdap:iana-bootstrap,thymus,"thymos (spirit, gland)",1,2,6,x,off-frame,CVCVC,,0,2,1,0,1,spelling-notes:1,,,'y' as a vowel — may be written as 'i',
98,typhul,typhul.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,typhus,"typhos (smoke, stupor)",1,2,6,l,off-frame,CVCVC,,0,2,1,0,1,spelling-notes:2,,,'ph' vs 'f' — listeners split on which one they write; 'y' as a vowel — may be written as 'i',
99,tyrang,tyrang.com,AVAILABLE,2026-07-25T07:00:23.462Z,rdap:iana-bootstrap,tyrant,tyrannos (absolute ruler),1,2,6,g,off-frame,CVCVC,,0,2,1,0,1,spelling-notes:1,,,'y' as a vowel — may be written as 'i',
100,zealoc,zealoc.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,zealot,zelotes (zealous one),1,2,6,c,off-frame,CVVCVC,,0,2,1,0,1,spelling-notes:2,,,vowel digraph — several plausible spellings; 'z' — may be written as 's',
101,zephyc,zephyc.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,zephyr,zephyros (west wind),1,2,6,c,off-frame,CVCVC,,1,2,0,0,1,mark-proximity; spelling-notes:3,,Zephyr is a Linux Foundation real-time OS project,'ph' vs 'f' — listeners split on which one they write; 'y' as a vowel — may be written as 'i'; 'z' — may be written as 's',
102,euphoc,euphoc.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,euphony,euphonos (sweet-sounding),2,2,6,c,off-frame,VVCVC,,1,2,0,0,1,spelling-notes:1,,,'ph' vs 'f' — listeners split on which one they write,
103,hyphig,hyphig.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,hyphen,hyphen (under one),2,2,6,g,off-frame,CVCVC,,1,2,0,0,1,spelling-notes:2,,,'ph' vs 'f' — listeners split on which one they write; 'y' as a vowel — may be written as 'i',
104,pathut,pathut.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,pathos,"pathos (feeling, suffering)",2,2,6,t,off-frame,CVCVC,,0,2,1,0,1,,,,,
105,physug,physug.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,physic,physis (nature),2,2,6,g,off-frame,CVCVC,,1,2,0,0,1,spelling-notes:2,,,'ph' vs 'f' — listeners split on which one they write; 'y' as a vowel — may be written as 'i',
106,thymil,thymil.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,thymus,"thymos (spirit, gland)",2,2,6,l,off-frame,CVCVC,,0,2,1,0,1,spelling-notes:1,,,'y' as a vowel — may be written as 'i',
107,typhol,typhol.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,typhus,"typhos (smoke, stupor)",2,2,6,l,off-frame,CVCVC,,0,2,1,0,1,spelling-notes:2,,,'ph' vs 'f' — listeners split on which one they write; 'y' as a vowel — may be written as 'i',
