rank,name,domain,verdict_com,checked_at_utc,lookup_channel,greek_seed_word,greek_root_sense,letters_changed_from_seed,syllables,letters,ends_with,zee_shape,sound_pattern,cluster,relevance_0_2,meaning_0_2,sound_0_2,min_score,avg_score,flags,association_note,trademark_note,spelling_notes,substring_note
12,tympic,tympic.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,tympan,tympanon (drum),2,2,6,c,CVCCVC mid-crunch,CVCCVC,mp,1,1,2,1,1.33,spelling-notes:1,,,'y' as a vowel — may be written as 'i',
13,tympil,tympil.com,AVAILABLE,2026-07-25T07:00:23.463Z,rdap:iana-bootstrap,tympan,tympanon (drum),2,2,6,l,CVCCVC mid-crunch,CVCCVC,mp,1,1,2,1,1.33,spelling-notes:1,,,'y' as a vowel — may be written as 'i',
14,gnasis,gnasis.com,AVAILABLE,2026-07-25T07:00:23.461Z,rdap:iana-bootstrap,gnosis,gnosis (knowledge),1,2,6,s,CCVCVC onset-crunch,CCVCVC,gn,1,1,2,1,1.33,,,,,
15,gnomol,gnomol.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,gnomon,gnomon (the pointer of a sundial),1,2,6,l,CCVCVC onset-crunch,CCVCVC,gn,1,1,2,1,1.33,,,,,
16,gnomor,gnomor.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,gnomon,gnomon (the pointer of a sundial),1,2,6,r,CCVCVC onset-crunch,CCVCVC,gn,1,1,2,1,1.33,spelling-notes:1,,,unstressed final -er/-or/-ar — commonly confused,
17,gnosil,gnosil.com,AVAILABLE,2026-07-25T07:00:23.461Z,rdap:iana-bootstrap,gnosis,gnosis (knowledge),1,2,6,l,CCVCVC onset-crunch,CCVCVC,gn,1,1,2,1,1.33,,,,,
18,gnosip,gnosip.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,gnosis,gnosis (knowledge),1,2,6,p,CCVCVC onset-crunch,CCVCVC,gn,1,1,2,1,1.33,,,,,
19,gnomal,gnomal.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,gnomon,gnomon (the pointer of a sundial),2,2,6,l,CCVCVC onset-crunch,CCVCVC,gn,1,1,2,1,1.33,,,,,
20,emblec,emblec.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,emblem,emblema (inlaid work),1,2,6,c,"one cluster, other shape",VCCCVC,mbl,1,2,1,1,1.33,,,,,
21,emblom,emblom.com,AVAILABLE,2026-07-25T07:00:23.460Z,rdap:iana-bootstrap,emblem,emblema (inlaid work),1,2,6,m,"one cluster, other shape",VCCCVC,mbl,1,2,1,1,1.33,,,,,
22,iambac,iambac.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,iambic,iambos (metrical foot),1,2,6,c,"one cluster, other shape",VVCCVC,mb,1,2,1,1,1.33,,,,,
23,iambir,iambir.com,AVAILABLE,2026-07-25T07:00:23.461Z,rdap:iana-bootstrap,iambic,iambos (metrical foot),1,2,6,r,"one cluster, other shape",VVCCVC,mb,1,2,1,1,1.33,spelling-notes:1,,,unstressed final -er/-or/-ar — commonly confused,
24,emblat,emblat.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,emblem,emblema (inlaid work),2,2,6,t,"one cluster, other shape",VCCCVC,mbl,1,2,1,1,1.33,,,,,
25,iambur,iambur.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,iambic,iambos (metrical foot),2,2,6,r,"one cluster, other shape",VVCCVC,mb,1,2,1,1,1.33,spelling-notes:1,,,unstressed final -er/-or/-ar — commonly confused,
26,choruc,choruc.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,chorus,"choros (dance, chorus)",1,2,6,c,off-frame,CVCVC,,1,2,1,1,1.33,,,,,
27,chorug,chorug.com,AVAILABLE,2026-07-25T07:00:23.460Z,rdap:iana-bootstrap,chorus,"choros (dance, chorus)",1,2,6,g,off-frame,CVCVC,,1,2,1,1,1.33,,,,,
28,chorul,chorul.com,AVAILABLE,2026-07-25T07:00:23.460Z,rdap:iana-bootstrap,chorus,"choros (dance, chorus)",1,2,6,l,off-frame,CVCVC,,1,2,1,1,1.33,,,,,
29,hyphel,hyphel.com,AVAILABLE,2026-07-25T07:00:23.461Z,rdap:iana-bootstrap,hyphen,hyphen (under one),1,2,6,l,off-frame,CVCVC,,1,2,1,1,1.33,spelling-notes:2,,,'ph' vs 'f' — listeners split on which one they write; 'y' as a vowel — may be written as 'i',
30,phonil,phonil.com,AVAILABLE,2026-07-25T07:00:23.462Z,rdap:iana-bootstrap,phonic,"phone (sound, voice)",1,2,6,l,off-frame,CVCVC,,1,2,1,1,1.33,spelling-notes:1,,,'ph' vs 'f' — listeners split on which one they write,
31,euphol,euphol.com,AVAILABLE,2026-07-25T07:00:23.463Z,rdap:iana-bootstrap,euphony,euphonos (sweet-sounding),2,2,6,l,off-frame,VVCVC,,1,2,1,1,1.33,spelling-notes:1,,,'ph' vs 'f' — listeners split on which one they write,
32,euphun,euphun.com,AVAILABLE,2026-07-25T07:00:23.463Z,rdap:iana-bootstrap,euphony,euphonos (sweet-sounding),2,2,6,n,off-frame,VVCVC,,1,2,1,1,1.33,spelling-notes:1,,,'ph' vs 'f' — listeners split on which one they write,
33,hyphul,hyphul.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,hyphen,hyphen (under one),2,2,6,l,off-frame,CVCVC,,1,2,1,1,1.33,spelling-notes:2,,,'ph' vs 'f' — listeners split on which one they write; 'y' as a vowel — may be written as 'i',
34,hyphum,hyphum.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,hyphen,hyphen (under one),2,2,6,m,off-frame,CVCVC,,1,2,1,1,1.33,spelling-notes:2,,,'ph' vs 'f' — listeners split on which one they write; 'y' as a vowel — may be written as 'i',
35,zephol,zephol.com,AVAILABLE,2026-07-25T07:00:23.463Z,rdap:iana-bootstrap,zephyr,zephyros (west wind),2,2,6,l,off-frame,CVCVC,,1,2,1,1,1.33,mark-proximity; spelling-notes:2,,Zephyr is a Linux Foundation real-time OS project,'ph' vs 'f' — listeners split on which one they write; 'z' — may be written as 's',
36,dactep,dactep.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,dactyl,"daktylos (finger, metrical foot)",2,2,6,p,CVCCVC mid-crunch,CVCCVC,ct,1,1,1,1,1,,,,,
37,syrint,syrint.com,AVAILABLE,2026-07-25T07:00:23.462Z,rdap:iana-bootstrap,syrinx,"syrinx (pipe, channel)",1,2,6,t,"one cluster, other shape",CVCVCC,nt,1,1,1,1,1,spelling-notes:1,,,'y' as a vowel — may be written as 'i',
38,syrunx,syrunx.com,AVAILABLE,2026-07-25T07:00:23.462Z,rdap:iana-bootstrap,syrinx,"syrinx (pipe, channel)",1,2,6,x,"one cluster, other shape",CVCVCC,nx,1,1,1,1,1,spelling-notes:1,,,'y' as a vowel — may be written as 'i',
39,syronc,syronc.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,syrinx,"syrinx (pipe, channel)",2,2,6,c,"one cluster, other shape",CVCVCC,nc,1,1,1,1,1,spelling-notes:1,,,'y' as a vowel — may be written as 'i',
40,bathoc,bathoc.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,bathos,bathos (depth),1,2,6,c,off-frame,CVCVC,,1,1,1,1,1,,,,,
41,daimol,daimol.com,AVAILABLE,2026-07-25T07:00:23.460Z,rdap:iana-bootstrap,daimon,daimon (guiding spirit),1,2,6,l,off-frame,CVVCVC,,1,1,1,1,1,spelling-notes:1,,,vowel digraph — several plausible spellings,
42,bathal,bathal.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,bathos,bathos (depth),2,2,6,l,off-frame,CVCVC,,1,1,1,1,1,,,,,
43,batheg,batheg.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,bathos,bathos (depth),2,2,6,g,off-frame,CVCVC,,1,1,1,1,1,,,,,
44,daimep,daimep.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,daimon,daimon (guiding spirit),2,2,6,p,off-frame,CVVCVC,,1,1,1,1,1,spelling-notes:1,,,vowel digraph — several plausible spellings,
45,daimug,daimug.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,daimon,daimon (guiding spirit),2,2,6,g,off-frame,CVVCVC,,1,1,1,1,1,spelling-notes:1,,,vowel digraph — several plausible spellings,
46,kairep,kairep.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,kairos,kairos (the right moment),2,2,6,p,off-frame,CVVCVC,,1,1,1,1,1,spelling-notes:2,,,'k' before a/e — may be written as 'c'; vowel digraph — several plausible spellings,
47,kairug,kairug.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,kairos,kairos (the right moment),2,2,6,g,off-frame,CVVCVC,,1,1,1,1,1,spelling-notes:2,,,'k' before a/e — may be written as 'c'; vowel digraph — several plausible spellings,
48,kairut,kairut.com,AVAILABLE,2026-07-25T07:00:23.463Z,rdap:iana-bootstrap,kairos,kairos (the right moment),2,2,6,t,off-frame,CVVCVC,,1,1,1,1,1,spelling-notes:2,,,'k' before a/e — may be written as 'c'; vowel digraph — several plausible spellings,
49,kosmil,kosmil.com,AVAILABLE,2026-07-25T07:00:23.461Z,rdap:iana-bootstrap,kosmic,kosmikos (of the universe),1,2,6,l,CVCCVC mid-crunch,CVCCVC,sm,1,2,2,1,1.67,,'-mil' is a common drug suffix (verapamil),,,
50,siphol,siphol.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,siphon,"siphon (tube, pipe)",1,2,6,l,off-frame,CVCVC,,2,2,1,1,1.67,spelling-notes:1,'siphon' can imply siphoning off,,'ph' vs 'f' — listeners split on which one they write,
51,siphel,siphel.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,siphon,"siphon (tube, pipe)",2,2,6,l,off-frame,CVCVC,,2,2,1,1,1.67,spelling-notes:1,'siphon' can imply siphoning off,,'ph' vs 'f' — listeners split on which one they write,
52,siphum,siphum.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,siphon,"siphon (tube, pipe)",2,2,6,m,off-frame,CVCVC,,2,2,1,1,1.67,spelling-notes:1,'siphon' can imply siphoning off,,'ph' vs 'f' — listeners split on which one they write,
53,stasug,stasug.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,stasis,"stasis (a standing, stoppage)",2,2,6,g,CCVCVC onset-crunch,CCVCVC,st,1,2,1,1,1.33,,echoes 'stasis' (stuck / not moving),,,
54,cymbam,cymbam.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,cymbal,kymbalon (cymbal),1,2,6,m,CVCCVC mid-crunch,CVCCVC,mb,0,2,2,0,1.33,spelling-notes:1,,,'y' as a vowel — may be written as 'i',
55,cymbat,cymbat.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,cymbal,kymbalon (cymbal),1,2,6,t,CVCCVC mid-crunch,CVCCVC,mb,0,2,2,0,1.33,spelling-notes:1,,,'y' as a vowel — may be written as 'i',
56,cymbul,cymbul.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,cymbal,kymbalon (cymbal),1,2,6,l,CVCCVC mid-crunch,CVCCVC,mb,0,2,2,0,1.33,spelling-notes:1,,,'y' as a vowel — may be written as 'i',
57,gypnum,gypnum.com,AVAILABLE,2026-07-25T07:00:23.461Z,rdap:iana-bootstrap,gypsum,"gypsos (chalk, plaster)",1,2,6,m,CVCCVC mid-crunch,CVCCVC,pn,0,2,2,0,1.33,spelling-notes:1,,,'y' as a vowel — may be written as 'i',
58,gyptum,gyptum.com,AVAILABLE,2026-07-25T07:00:23.461Z,rdap:iana-bootstrap,gypsum,"gypsos (chalk, plaster)",1,2,6,m,CVCCVC mid-crunch,CVCCVC,pt,0,2,2,0,1.33,spelling-notes:1,,,'y' as a vowel — may be written as 'i',
59,hectil,hectil.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,hectic,"hektikos (habitual, feverish)",1,2,6,l,CVCCVC mid-crunch,CVCCVC,ct,0,2,2,0,1.33,,,,,
60,hymnac,hymnac.com,AVAILABLE,2026-07-25T07:00:23.461Z,rdap:iana-bootstrap,hymnal,hymnos (song of praise),1,2,6,c,CVCCVC mid-crunch,CVCCVC,mn,0,2,2,0,1.33,spelling-notes:1,,,'y' as a vowel — may be written as 'i',
61,hymnat,hymnat.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,hymnal,hymnos (song of praise),1,2,6,t,CVCCVC mid-crunch,CVCCVC,mn,0,2,2,0,1.33,spelling-notes:1,,,'y' as a vowel — may be written as 'i',
62,hymnax,hymnax.com,AVAILABLE,2026-07-25T07:00:23.461Z,rdap:iana-bootstrap,hymnal,hymnos (song of praise),1,2,6,x,CVCCVC mid-crunch,CVCCVC,mn,0,2,2,0,1.33,spelling-notes:1,,,'y' as a vowel — may be written as 'i',
63,marbyr,marbyr.com,AVAILABLE,2026-07-25T07:00:23.461Z,rdap:iana-bootstrap,martyr,martys (witness),1,2,6,r,CVCCVC mid-crunch,CVCCVC,rb,0,2,2,0,1.33,spelling-notes:1,,,'y' as a vowel — may be written as 'i',
64,mardyr,mardyr.com,AVAILABLE,2026-07-25T07:00:23.461Z,rdap:iana-bootstrap,martyr,martys (witness),1,2,6,r,CVCCVC mid-crunch,CVCCVC,rd,0,2,2,0,1.33,spelling-notes:1,,,'y' as a vowel — may be written as 'i',
65,martym,martym.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,martyr,martys (witness),1,2,6,m,CVCCVC mid-crunch,CVCCVC,rt,0,2,2,0,1.33,spelling-notes:1,,,'y' as a vowel — may be written as 'i',
66,talcim,talcim.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,talcum,talkos (talc),1,2,6,m,CVCCVC mid-crunch,CVCCVC,lc,0,2,2,0,1.33,spelling-notes:1,,,soft 'c' before e/i — may be written as 's',
67,tonsul,tonsul.com,AVAILABLE,2026-07-25T07:00:23.462Z,rdap:iana-bootstrap,tonsil,tonsilla-adjacent (throat),1,2,6,l,CVCCVC mid-crunch,CVCCVC,ns,0,2,2,0,1.33,,,,,
68,balsep,balsep.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,balsam,balsamon (balsam),2,2,6,p,CVCCVC mid-crunch,CVCCVC,ls,0,2,2,0,1.33,,,,,
69,balsog,balsog.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,balsam,balsamon (balsam),2,2,6,g,CVCCVC mid-crunch,CVCCVC,ls,0,2,2,0,1.33,,,,,
70,balsul,balsul.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,balsam,balsamon (balsam),2,2,6,l,CVCCVC mid-crunch,CVCCVC,ls,0,2,2,0,1.33,,,,,
71,despur,despur.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,despot,despotes (master),2,2,6,r,CVCCVC mid-crunch,CVCCVC,sp,0,2,2,0,1.33,spelling-notes:1,,,unstressed final -er/-or/-ar — commonly confused,
72,gorgat,gorgat.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,gorgon,Gorgo (the Gorgon),2,2,6,t,CVCCVC mid-crunch,CVCCVC,rg,0,2,2,0,1.33,,,,,
73,gorgic,gorgic.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,gorgon,Gorgo (the Gorgon),2,2,6,c,CVCCVC mid-crunch,CVCCVC,rg,0,2,2,0,1.33,,,,,
74,gorgir,gorgir.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,gorgon,Gorgo (the Gorgon),2,2,6,r,CVCCVC mid-crunch,CVCCVC,rg,0,2,2,0,1.33,spelling-notes:1,,,unstressed final -er/-or/-ar — commonly confused,
75,hectum,hectum.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,hectic,"hektikos (habitual, feverish)",2,2,6,m,CVCCVC mid-crunch,CVCCVC,ct,0,2,2,0,1.33,,,,,
76,hubrul,hubrul.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,hubris,hybris (overreach),2,2,6,l,CVCCVC mid-crunch,CVCCVC,br,0,2,2,0,1.33,,,,,
77,sepsum,sepsum.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,sepsis,sepsis (putrefaction),2,2,6,m,CVCCVC mid-crunch,CVCCVC,ps,0,2,2,0,1.33,spelling-notes:1,,,silent-letter cluster,
78,talcep,talcep.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,talcum,talkos (talc),2,2,6,p,CVCCVC mid-crunch,CVCCVC,lc,0,2,2,0,1.33,spelling-notes:1,,,soft 'c' before e/i — may be written as 's',
79,talcig,talcig.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,talcum,talkos (talc),2,2,6,g,CVCCVC mid-crunch,CVCCVC,lc,0,2,2,0,1.33,spelling-notes:1,,,soft 'c' before e/i — may be written as 's',
80,tartep,tartep.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,tartar,"tartaron (tartar, Tartarus)",2,2,6,p,CVCCVC mid-crunch,CVCCVC,rt,0,2,2,0,1.33,,,,,
81,tartig,tartig.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,tartar,"tartaron (tartar, Tartarus)",2,2,6,g,CVCCVC mid-crunch,CVCCVC,rt,0,2,2,0,1.33,,,,,
82,tartul,tartul.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,tartar,"tartaron (tartar, Tartarus)",2,2,6,l,CVCCVC mid-crunch,CVCCVC,rt,0,2,2,0,1.33,,,,,
83,tonsep,tonsep.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,tonsil,tonsilla-adjacent (throat),2,2,6,p,CVCCVC mid-crunch,CVCCVC,ns,0,2,2,0,1.33,,,,,
84,tonsug,tonsug.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,tonsil,tonsilla-adjacent (throat),2,2,6,g,CVCCVC mid-crunch,CVCCVC,ns,0,2,2,0,1.33,,,,,
85,tragir,tragir.com,AVAILABLE,2026-07-25T07:00:23.462Z,rdap:iana-bootstrap,tragic,tragikos (of the goat-song),1,2,6,r,CCVCVC onset-crunch,CCVCVC,tr,0,2,2,0,1.33,spelling-notes:1,,,unstressed final -er/-or/-ar — commonly confused,
86,tragoc,tragoc.com,AVAILABLE,2026-07-25T07:00:23.462Z,rdap:iana-bootstrap,tragic,tragikos (of the goat-song),1,2,6,c,CCVCVC onset-crunch,CCVCVC,tr,0,2,2,0,1.33,,,,,
87,trodic,trodic.com,AVAILABLE,2026-07-25T07:00:23.462Z,rdap:iana-bootstrap,tropic,tropikos (of the turning),1,2,6,c,CCVCVC onset-crunch,CCVCVC,tr,0,2,2,0,1.33,,,,,
88,tropip,tropip.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,tropic,tropikos (of the turning),1,2,6,p,CCVCVC onset-crunch,CCVCVC,tr,0,2,2,0,1.33,,,,,
89,tropuc,tropuc.com,AVAILABLE,2026-07-25T07:00:23.462Z,rdap:iana-bootstrap,tropic,tropikos (of the turning),1,2,6,c,CCVCVC onset-crunch,CCVCVC,tr,0,2,2,0,1.33,,,,,
90,bisdop,bisdop.com,AVAILABLE,2026-07-25T07:00:23.460Z,rdap:iana-bootstrap,bishop,episkopos (overseer),1,2,6,p,CVCCVC mid-crunch,CVCCVC,sd,0,2,1,0,1,,,,,
91,cystir,cystir.com,AVAILABLE,2026-07-25T07:00:23.460Z,rdap:iana-bootstrap,cystic,"kystis (bladder, pouch)",1,2,6,r,CVCCVC mid-crunch,CVCCVC,st,0,2,1,0,1,spelling-notes:2,,,unstressed final -er/-or/-ar — commonly confused; 'y' as a vowel — may be written as 'i',
92,despoc,despoc.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,despot,despotes (master),1,2,6,c,CVCCVC mid-crunch,CVCCVC,sp,0,2,1,0,1,,,,,
93,despox,despox.com,AVAILABLE,2026-07-25T07:00:23.460Z,rdap:iana-bootstrap,despot,despotes (master),1,2,6,x,CVCCVC mid-crunch,CVCCVC,sp,0,2,1,0,1,,,,,
94,dolmeg,dolmeg.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,dolmen,Gk-adjacent megalith term,1,2,6,g,CVCCVC mid-crunch,CVCCVC,lm,0,1,2,0,1,,,,,
95,gypsim,gypsim.com,AVAILABLE,2026-07-25T07:00:23.461Z,rdap:iana-bootstrap,gypsum,"gypsos (chalk, plaster)",1,2,6,m,CVCCVC mid-crunch,CVCCVC,ps,0,2,1,0,1,spelling-notes:2,,,'y' as a vowel — may be written as 'i'; silent-letter cluster,
96,hectig,hectig.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,hectic,"hektikos (habitual, feverish)",1,2,6,g,CVCCVC mid-crunch,CVCCVC,ct,0,2,1,0,1,,,,,
97,mastuc,mastuc.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,mastic,mastikhe (chewing gum resin),1,2,6,c,CVCCVC mid-crunch,CVCCVC,st,0,1,2,0,1,,,,,
98,peplul,peplul.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,peplum,peplos (robe),1,2,6,l,CVCCVC mid-crunch,CVCCVC,pl,0,1,2,0,1,,,,,
99,telsox,telsox.com,AVAILABLE,2026-07-25T07:00:23.462Z,rdap:iana-bootstrap,telson,telson (last segment),1,2,6,x,CVCCVC mid-crunch,CVCCVC,ls,0,1,2,0,1,,,,,
100,xystul,xystul.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,xystus,xystos (covered colonnade),1,2,6,l,CVCCVC mid-crunch,CVCCVC,st,0,1,2,0,1,spelling-notes:1,,,'y' as a vowel — may be written as 'i',
