rank,name,domain,verdict_2026_07_25,verdict_2026_08_25,rechecked_at_utc,greek_seed_word,zee_shape,avg_score
30,phonil,phonil.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,phonic,"off-frame",1.33
31,euphol,euphol.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,euphony,"off-frame",1.33
32,euphun,euphun.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,euphony,"off-frame",1.33
33,hyphul,hyphul.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,hyphen,"off-frame",1.33
34,hyphum,hyphum.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,hyphen,"off-frame",1.33
35,zephol,zephol.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,zephyr,"off-frame",1.33
36,dactep,dactep.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,dactyl,"CVCCVC mid-crunch",1
37,syrint,syrint.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,syrinx,"one cluster, other shape",1
38,syrunx,syrunx.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,syrinx,"one cluster, other shape",1
39,syronc,syronc.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,syrinx,"one cluster, other shape",1
40,bathoc,bathoc.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,bathos,"off-frame",1
41,daimol,daimol.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,daimon,"off-frame",1
42,bathal,bathal.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,bathos,"off-frame",1
43,batheg,batheg.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,bathos,"off-frame",1
44,daimep,daimep.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,daimon,"off-frame",1
45,daimug,daimug.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,daimon,"off-frame",1
46,kairep,kairep.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,kairos,"off-frame",1
47,kairug,kairug.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,kairos,"off-frame",1
48,kairut,kairut.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,kairos,"off-frame",1
49,kosmil,kosmil.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,kosmic,"CVCCVC mid-crunch",1.67
50,siphol,siphol.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,siphon,"off-frame",1.67
51,siphel,siphel.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,siphon,"off-frame",1.67
52,siphum,siphum.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,siphon,"off-frame",1.67
53,stasug,stasug.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,stasis,"CCVCVC onset-crunch",1.33
54,cymbam,cymbam.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,cymbal,"CVCCVC mid-crunch",1.33
55,cymbat,cymbat.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,cymbal,"CVCCVC mid-crunch",1.33
56,cymbul,cymbul.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,cymbal,"CVCCVC mid-crunch",1.33
57,gypnum,gypnum.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,gypsum,"CVCCVC mid-crunch",1.33
58,gyptum,gyptum.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,gypsum,"CVCCVC mid-crunch",1.33
59,hectil,hectil.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,hectic,"CVCCVC mid-crunch",1.33
60,hymnac,hymnac.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,hymnal,"CVCCVC mid-crunch",1.33
61,hymnat,hymnat.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,hymnal,"CVCCVC mid-crunch",1.33
62,hymnax,hymnax.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,hymnal,"CVCCVC mid-crunch",1.33
63,marbyr,marbyr.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,martyr,"CVCCVC mid-crunch",1.33
64,mardyr,mardyr.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,martyr,"CVCCVC mid-crunch",1.33
65,martym,martym.com,AVAILABLE,TAKEN,2026-08-25T18:48:56.592Z,martyr,"CVCCVC mid-crunch",1.33
66,talcim,talcim.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,talcum,"CVCCVC mid-crunch",1.33
67,tonsul,tonsul.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,tonsil,"CVCCVC mid-crunch",1.33
68,balsep,balsep.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,balsam,"CVCCVC mid-crunch",1.33
69,balsog,balsog.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,balsam,"CVCCVC mid-crunch",1.33
70,balsul,balsul.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,balsam,"CVCCVC mid-crunch",1.33
71,despur,despur.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,despot,"CVCCVC mid-crunch",1.33
72,gorgat,gorgat.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,gorgon,"CVCCVC mid-crunch",1.33
73,gorgic,gorgic.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,gorgon,"CVCCVC mid-crunch",1.33
74,gorgir,gorgir.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,gorgon,"CVCCVC mid-crunch",1.33
75,hectum,hectum.com,AVAILABLE,TAKEN,2026-08-25T18:48:56.592Z,hectic,"CVCCVC mid-crunch",1.33
76,hubrul,hubrul.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,hubris,"CVCCVC mid-crunch",1.33
77,sepsum,sepsum.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,sepsis,"CVCCVC mid-crunch",1.33
78,talcep,talcep.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,talcum,"CVCCVC mid-crunch",1.33
79,talcig,talcig.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,talcum,"CVCCVC mid-crunch",1.33
80,tartep,tartep.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,tartar,"CVCCVC mid-crunch",1.33
81,tartig,tartig.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,tartar,"CVCCVC mid-crunch",1.33
82,tartul,tartul.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,tartar,"CVCCVC mid-crunch",1.33
83,tonsep,tonsep.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,tonsil,"CVCCVC mid-crunch",1.33
84,tonsug,tonsug.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,tonsil,"CVCCVC mid-crunch",1.33
85,tragir,tragir.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,tragic,"CCVCVC onset-crunch",1.33
86,tragoc,tragoc.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,tragic,"CCVCVC onset-crunch",1.33
87,trodic,trodic.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,tropic,"CCVCVC onset-crunch",1.33
88,tropip,tropip.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,tropic,"CCVCVC onset-crunch",1.33
89,tropuc,tropuc.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,tropic,"CCVCVC onset-crunch",1.33
90,bisdop,bisdop.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,bishop,"CVCCVC mid-crunch",1
91,cystir,cystir.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,cystic,"CVCCVC mid-crunch",1
92,despoc,despoc.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,despot,"CVCCVC mid-crunch",1
93,despox,despox.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,despot,"CVCCVC mid-crunch",1
94,dolmeg,dolmeg.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,dolmen,"CVCCVC mid-crunch",1
95,gypsim,gypsim.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,gypsum,"CVCCVC mid-crunch",1
96,hectig,hectig.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,hectic,"CVCCVC mid-crunch",1
97,mastuc,mastuc.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,mastic,"CVCCVC mid-crunch",1
98,peplul,peplul.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,peplum,"CVCCVC mid-crunch",1
99,telsox,telsox.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,telson,"CVCCVC mid-crunch",1
100,xystul,xystul.com,AVAILABLE,AVAILABLE,2026-08-25T18:48:56.592Z,xystus,"CVCCVC mid-crunch",1
