rank,domain,syllables,ending,sound_note,checked_at
56,"dultas.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -as hard ending",2026-07-24T03:30:54.032Z
57,"garkuk.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -uk hard ending",2026-07-24T03:30:54.035Z
58,"gebrex.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ex hard ending",2026-07-24T03:30:54.034Z
59,"gistir.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ir hard ending",2026-07-24T03:30:54.034Z
60,"gobrok.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ok hard ending",2026-07-24T03:30:54.034Z
61,"gulvux.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ux hard ending",2026-07-24T03:30:54.033Z
62,"kaltot.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ot hard ending",2026-07-24T03:30:54.035Z
63,"keltot.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ot hard ending",2026-07-24T03:30:54.034Z
64,"kinsak.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ak hard ending",2026-07-24T03:30:54.034Z
65,"paldit.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -it hard ending",2026-07-24T03:30:54.033Z
66,"pendut.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ut hard ending",2026-07-24T03:30:54.034Z
67,"pilvux.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ux hard ending",2026-07-24T03:30:54.034Z
68,"poskul.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ul hard ending",2026-07-24T03:30:54.034Z
69,"pumbes.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -es hard ending",2026-07-24T03:30:54.033Z
70,"tansux.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ux hard ending",2026-07-24T03:30:54.035Z
71,"tensux.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ux hard ending",2026-07-24T03:30:54.034Z
72,"tilket.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -et hard ending",2026-07-24T03:30:54.034Z
73,"toltas.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -as hard ending",2026-07-24T03:30:54.034Z
74,"tugrat.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -at hard ending",2026-07-24T03:30:54.033Z
75,"centut.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ut hard ending",2026-07-24T03:30:54.034Z
76,"civrek.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ek hard ending",2026-07-24T03:30:54.034Z
77,"cugrek.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ek hard ending",2026-07-24T03:30:54.034Z
78,"hadrak.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ak hard ending",2026-07-24T03:30:54.034Z
79,"hebres.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -es hard ending",2026-07-24T03:30:54.033Z
80,"hinsis.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -is hard ending",2026-07-24T03:30:54.034Z
81,"humpox.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ox hard ending",2026-07-24T03:30:54.034Z
82,"jalvok.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ok hard ending",2026-07-24T03:30:54.035Z
83,"jedruk.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -uk hard ending",2026-07-24T03:30:54.034Z
84,"jidrix.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ix hard ending",2026-07-24T03:30:54.033Z
85,"jograk.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ak hard ending",2026-07-24T03:30:54.033Z
86,"jubrex.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ex hard ending",2026-07-24T03:30:54.034Z
87,"zaltux.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ux hard ending",2026-07-24T03:30:54.032Z
88,"zegrak.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ak hard ending",2026-07-24T03:30:54.034Z
89,"zidras.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -as hard ending",2026-07-24T03:30:54.033Z
90,"zodrek.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ek hard ending",2026-07-24T03:30:54.033Z
91,"korkul.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ul hard ending",2026-07-24T03:30:54.033Z
92,"labror.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -or hard ending",2026-07-24T03:30:54.032Z
93,"thrabak.com",2,cons,"2-syllable coinage, punchy cluster onset, crisp -ak hard ending",2026-07-24T03:30:54.033Z
94,"fabinx.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -nx hard ending",2026-07-24T03:30:54.034Z
95,"fobeld.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ld hard ending",2026-07-24T03:30:54.033Z
96,"brezok.com",2,cons,"2-syllable coinage, punchy cluster onset, crisp -ok hard ending",2026-07-24T03:30:54.034Z
97,"clegex.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ex hard ending",2026-07-24T03:30:54.033Z
98,"crasuk.com",2,cons,"2-syllable coinage, punchy cluster onset, crisp -uk hard ending",2026-07-24T03:30:54.034Z
99,"dredas.com",2,cons,"2-syllable coinage, punchy cluster onset, crisp -as hard ending",2026-07-24T03:30:54.034Z
100,"fladus.com",2,cons,"2-syllable coinage, gleam gl/fl onset, crisp -us hard ending",2026-07-24T03:30:54.034Z
101,"fretuk.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -uk hard ending",2026-07-24T03:30:54.033Z
102,"glabok.com",2,cons,"2-syllable coinage, gleam gl/fl onset, crisp -ok hard ending",2026-07-24T03:30:54.034Z
103,"grexax.com",2,cons,"2-syllable coinage, punchy cluster onset, crisp -ax hard ending",2026-07-24T03:30:54.033Z
104,"plafik.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ik hard ending",2026-07-24T03:30:54.032Z
105,"prefot.com",2,cons,"2-syllable coinage, punchy cluster onset, crisp -ot hard ending",2026-07-24T03:30:54.035Z
106,"sledes.com",2,cons,"2-syllable coinage, gleam gl/fl onset, crisp -es hard ending",2026-07-24T03:30:54.035Z
107,"spazol.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ol hard ending",2026-07-24T03:30:54.035Z
108,"stixir.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ir hard ending",2026-07-24T03:30:54.034Z
109,"swamet.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -et hard ending",2026-07-24T03:30:54.035Z
110,"trifat.com",2,cons,"2-syllable coinage, punchy cluster onset, crisp -at hard ending",2026-07-24T03:30:54.033Z
111,"vraxok.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ok hard ending",2026-07-24T03:30:54.033Z
112,"ferkex.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ex hard ending",2026-07-24T03:30:54.033Z
113,"firkot.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ot hard ending",2026-07-24T03:30:54.033Z
114,"fuldok.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ok hard ending",2026-07-24T03:30:54.033Z
115,"liphix.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ix hard ending",2026-07-24T03:30:54.033Z
116,"loskik.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ik hard ending",2026-07-24T03:30:54.034Z
117,"luphuk.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -uk hard ending",2026-07-24T03:30:54.033Z
118,"muphel.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -el hard ending",2026-07-24T03:30:54.034Z
119,"nandut.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ut hard ending",2026-07-24T03:30:54.032Z
120,"noskuk.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -uk hard ending",2026-07-24T03:30:54.034Z
121,"nuldax.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ax hard ending",2026-07-24T03:30:54.034Z
122,"rabrox.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ox hard ending",2026-07-24T03:30:54.034Z
123,"rensul.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ul hard ending",2026-07-24T03:30:54.034Z
124,"skeger.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -er hard ending",2026-07-24T03:30:54.034Z
125,"snedus.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -us hard ending",2026-07-24T03:30:54.034Z
126,"sonkix.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ix hard ending",2026-07-24T03:30:54.034Z
127,"sulvis.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -is hard ending",2026-07-24T03:30:54.033Z
128,"veltuk.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -uk hard ending",2026-07-24T03:30:54.035Z
129,"vinkik.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ik hard ending",2026-07-24T03:30:54.035Z
130,"vodrut.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ut hard ending",2026-07-24T03:30:54.035Z
131,"vulkuk.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -uk hard ending",2026-07-24T03:30:54.033Z
132,"leltox.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ox hard ending",2026-07-24T03:30:54.033Z
133,"mambol.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ol hard ending",2026-07-24T03:30:54.034Z
134,"miphel.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -el hard ending",2026-07-24T03:30:54.034Z
135,"movrok.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ok hard ending",2026-07-24T03:30:54.035Z
136,"nermur.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ur hard ending",2026-07-24T03:30:54.035Z
137,"nigrix.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ix hard ending",2026-07-24T03:30:54.033Z
138,"rigres.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -es hard ending",2026-07-24T03:30:54.034Z
139,"rortet.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -et hard ending",2026-07-24T03:30:54.034Z
140,"rulduk.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -uk hard ending",2026-07-24T03:30:54.033Z
141,"baphel.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -el hard ending",2026-07-24T03:30:54.033Z
142,"bilkel.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -el hard ending",2026-07-24T03:30:54.032Z
143,"blafex.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ex hard ending",2026-07-24T03:30:54.035Z
144,"dagrex.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ex hard ending",2026-07-24T03:30:54.032Z
145,"deldux.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ux hard ending",2026-07-24T03:30:54.035Z
146,"dibrut.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ut hard ending",2026-07-24T03:30:54.034Z
147,"donkak.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ak hard ending",2026-07-24T03:30:54.034Z
148,"dultat.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -at hard ending",2026-07-24T03:30:54.034Z
149,"gebrux.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ux hard ending",2026-07-24T03:30:54.035Z
150,"gibren.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -en hard ending",2026-07-24T03:30:54.033Z
151,"gobril.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -il hard ending",2026-07-24T03:30:54.033Z
152,"gursik.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ik hard ending",2026-07-24T03:30:54.034Z
153,"kaltut.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ut hard ending",2026-07-24T03:30:54.033Z
154,"kermuk.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -uk hard ending",2026-07-24T03:30:54.033Z
155,"kirsat.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -at hard ending",2026-07-24T03:30:54.034Z
156,"paldix.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ix hard ending",2026-07-24T03:30:54.035Z
157,"penkik.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ik hard ending",2026-07-24T03:30:54.033Z
158,"pirkat.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -at hard ending",2026-07-24T03:30:54.034Z
159,"pordir.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ir hard ending",2026-07-24T03:30:54.033Z
160,"pumbik.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ik hard ending",2026-07-24T03:30:54.033Z
161,"taldil.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -il hard ending",2026-07-24T03:30:54.034Z
162,"tentuk.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -uk hard ending",2026-07-24T03:30:54.035Z
163,"tilkox.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ox hard ending",2026-07-24T03:30:54.034Z
164,"toltat.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -at hard ending",2026-07-24T03:30:54.033Z
165,"tugres.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -es hard ending",2026-07-24T03:30:54.034Z
166,"certut.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ut hard ending",2026-07-24T03:30:54.034Z
167,"cidrun.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -un hard ending",2026-07-24T03:30:54.034Z
168,"cugris.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -is hard ending",2026-07-24T03:30:54.034Z
169,"haphal.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -al hard ending",2026-07-24T03:30:54.034Z
170,"hebrik.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ik hard ending",2026-07-24T03:30:54.033Z
171,"hinsuk.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -uk hard ending",2026-07-24T03:30:54.034Z
172,"jardux.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ux hard ending",2026-07-24T03:30:54.033Z
173,"jeldux.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ux hard ending",2026-07-24T03:30:54.033Z
174,"jimpek.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ek hard ending",2026-07-24T03:30:54.033Z
175,"jogrok.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ok hard ending",2026-07-24T03:30:54.033Z
176,"jubrit.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -it hard ending",2026-07-24T03:30:54.032Z
177,"zegrik.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ik hard ending",2026-07-24T03:30:54.034Z
178,"zidruk.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -uk hard ending",2026-07-24T03:30:54.033Z
179,"zodris.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -is hard ending",2026-07-24T03:30:54.033Z
180,"kormuk.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -uk hard ending",2026-07-24T03:30:54.033Z
181,"labrur.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ur hard ending",2026-07-24T03:30:54.032Z
182,"thrabes.com",2,cons,"2-syllable coinage, punchy cluster onset, crisp -es hard ending",2026-07-24T03:30:54.033Z
183,"fadonx.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -nx hard ending",2026-07-24T03:30:54.033Z
184,"fobent.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -nt hard ending",2026-07-24T03:30:54.035Z
185,"brisut.com",2,cons,"2-syllable coinage, punchy cluster onset, crisp -ut hard ending",2026-07-24T03:30:54.034Z
186,"clegot.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ot hard ending",2026-07-24T03:30:54.032Z
187,"crikuk.com",2,cons,"2-syllable coinage, punchy cluster onset, crisp -uk hard ending",2026-07-24T03:30:54.033Z
188,"dredux.com",2,cons,"2-syllable coinage, punchy cluster onset, crisp -ux hard ending",2026-07-24T03:30:54.034Z
189,"fleges.com",2,cons,"2-syllable coinage, gleam gl/fl onset, crisp -es hard ending",2026-07-24T03:30:54.035Z
190,"frivuk.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -uk hard ending",2026-07-24T03:30:54.033Z
191,"glesok.com",2,cons,"2-syllable coinage, gleam gl/fl onset, crisp -ok hard ending",2026-07-24T03:30:54.033Z
192,"grexix.com",2,cons,"2-syllable coinage, punchy cluster onset, crisp -ix hard ending",2026-07-24T03:30:54.033Z
193,"plafus.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -us hard ending",2026-07-24T03:30:54.032Z
194,"pritux.com",2,cons,"2-syllable coinage, punchy cluster onset, crisp -ux hard ending",2026-07-24T03:30:54.034Z
195,"sledus.com",2,cons,"2-syllable coinage, gleam gl/fl onset, crisp -us hard ending",2026-07-24T03:30:54.034Z
196,"spazul.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ul hard ending",2026-07-24T03:30:54.032Z
197,"stodul.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ul hard ending",2026-07-24T03:30:54.034Z
198,"swamus.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -us hard ending",2026-07-24T03:30:54.034Z
199,"trogas.com",2,cons,"2-syllable coinage, punchy cluster onset, crisp -as hard ending",2026-07-24T03:30:54.033Z
200,"vraxuk.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -uk hard ending",2026-07-24T03:30:54.033Z
201,"ferkis.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -is hard ending",2026-07-24T03:30:54.033Z
202,"firkux.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ux hard ending",2026-07-24T03:30:54.033Z
203,"fuphel.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -el hard ending",2026-07-24T03:30:54.033Z
204,"lidrux.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ux hard ending",2026-07-24T03:30:54.033Z
205,"luskek.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ek hard ending",2026-07-24T03:30:54.033Z
206,"muphen.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -en hard ending",2026-07-24T03:30:54.033Z
207,"nansit.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -it hard ending",2026-07-24T03:30:54.034Z
208,"noskil.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -il hard ending",2026-07-24T03:30:54.033Z
209,"nuldes.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -es hard ending",2026-07-24T03:30:54.032Z
210,"rardak.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ak hard ending",2026-07-24T03:30:54.032Z
211,"rerman.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -an hard ending",2026-07-24T03:30:54.032Z
212,"skegur.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ur hard ending",2026-07-24T03:30:54.034Z
213,"snexak.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ak hard ending",2026-07-24T03:30:54.034Z
214,"sorses.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -es hard ending",2026-07-24T03:30:54.035Z
215,"sulvos.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -os hard ending",2026-07-24T03:30:54.033Z
216,"velmek.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ek hard ending",2026-07-24T03:30:54.034Z
217,"vildil.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -il hard ending",2026-07-24T03:30:54.034Z
218,"vorkox.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ox hard ending",2026-07-24T03:30:54.034Z
219,"vulkut.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ut hard ending",2026-07-24T03:30:54.034Z
220,"lelkal.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -al hard ending",2026-07-24T03:30:54.033Z
221,"miphen.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -en hard ending",2026-07-24T03:30:54.033Z
222,"movrot.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ot hard ending",2026-07-24T03:30:54.033Z
223,"nigrer.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -er hard ending",2026-07-24T03:30:54.034Z
224,"rigrik.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ik hard ending",2026-07-24T03:30:54.034Z
225,"rortus.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -us hard ending",2026-07-24T03:30:54.034Z
226,"rubrer.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -er hard ending",2026-07-24T03:30:54.033Z
227,"bapher.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -er hard ending",2026-07-24T03:30:54.034Z
228,"bilval.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -al hard ending",2026-07-24T03:30:54.033Z
229,"blatet.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -et hard ending",2026-07-24T03:30:54.032Z
230,"dagrux.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -ux hard ending",2026-07-24T03:30:54.032Z
231,"delvuk.com",2,cons,"2-syllable coinage, hard-stop onset, crisp -uk hard ending",2026-07-24T03:30:54.033Z
