node_id,short_name,kind,description,actor,date,session,labels,importance,risk_category,notes
N031,Section-qualified citation as the interim rule,DECISION,"Every A91+ and every O31-O35 citation is written section-qualified until a renumbering pass lands. A1-A90 remain the criteria of record at 90, not 96.",preeng-worker,2026-07-26,preeng-001-website-builder,"NA-19;NA-20;traceability",8,traceability,"Interim only. The renumbering pass must reconcile three A91+ sets and four O31 meanings."
N032,stories.json plus 78 task files,ARTIFACT,"78 slices across 20 epics and 26 stories; 188 FR ids partitioned one-to-one; 90 canonical acceptance criteria plus 180 slice-local criteria; 120 dependency edges forming a valid DAG.",preeng-worker,2026-07-26,preeng-001-website-builder,"backlog;stories;tasks",10,traceability,"394,515 bytes across tasks/; every file carries PM, Dev, QA, Dev Learnings and QA Learnings."
N033,Exact requirement partition achieved,OUTCOME,"188 FR ids defined, 188 claimed, zero unclaimed, zero undefined, zero double-claimed. Every requirement is owned by exactly one slice.",preeng-worker,2026-07-26,preeng-001-website-builder,"coverage;FR;measured",10,traceability,"Computed mechanically from spec.md and stories.json, not asserted."
N034,One requirement one owner enforced mechanically,PATTERN,"Partition the requirement register across slices with a script rather than by review, so both orphan directions are provably empty before any code is written.",preeng-worker,2026-07-26,preeng-001-website-builder,"canonical-candidate;coverage",9,traceability,"CANONICAL CANDIDATE. Cheap, mechanical, and it caught the citation-style gap in plan.md and tech_prd.md."
N035,Four unsigned section-18 sign-off rows,BLOCKER,"Rows 4(c) rich-text-is-v2, 4(d) one-direction-only, 4(f) editor-still-lacks-zoom-pan-rulers-multi-select and 6 charts-partial remain unsigned. Section 18's own precondition bars any v1 build until every row is resolved.",preeng-worker,2026-07-26,preeng-001-website-builder,"sign-off;gate;build-start",10,governance,"The backlog is complete and unstartable at the same time. DECISION 1 resolved rows 4(a), 4(b) and consequentially 7."
N036,O4 topology ADR gates nothing mechanically,FINDING,"S04 (the topology spike and its ADR) has zero dependents; the editor shell S29 depends on S25 and S08 only. The invariant rule I1-I6 is stated in prose and absent from depends_on.",preeng-worker,2026-07-26,preeng-001-website-builder,"NEW;dependency-gap;S04",8,architecture,"Found mechanically during this analysis. Recommend adding S04 to S29's depends_on."
N037,plan.md demo slice ids disagree with stories.json four-for-four,FINDING,"plan.md section 3.2 places Demo 1 at S30, Demo 2 at S41, Demo 3 at S51 and Demo 4 at S73; stories.json uses S28, S40, S50 and S72, and the task files follow stories.json.",preeng-worker,2026-07-26,preeng-001-website-builder,"NEW;demo-ids;plan-edit-owed",8,traceability,"The carried defect list named only Demo 2 and Demo 3. plan.md owns the edit; nothing was silently fixed."
N038,analysis-report.md and the CAGE trace,ARTIFACT,"Cross-artifact analysis with mechanically computed coverage tables, a defect register carrying every known defect with its status, and this session trace.",preeng-worker,2026-07-26,preeng-001-website-builder,"analysis;cage;stage-C1",9,governance,"Emitted by /preeng.analyze after both upstream QA gates were confirmed APPROVED."
N039,Pre-engineering completes with every contradiction visible,OUTCOME,"Eleven source contradictions, one dependency gap and one id-format drift are recorded with status rather than resolved, so the first build decision is made with the full defect surface in view.",preeng-worker,2026-07-26,preeng-001-website-builder,"outcome;governance;stage-C1",10,governance,"No defect was silently fixed. Every schedule figure carried is tagged [I], low confidence."
N040,Record the contradiction do not resolve it silently,PATTERN,"When two sections of a signed-off source disagree, carry both readings with their section references and name who owns the edit, instead of picking one and erasing the disagreement.",preeng-worker,2026-07-26,preeng-001-website-builder,"canonical-candidate;determinism",10,governance,"CANONICAL CANDIDATE. It is what makes the 15 non-blocking issues in each QA report auditable rather than decorative."
